rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,src_page_policy,dst_page_policy,reg_mode,transfer_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:1","1:1","1:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:1","1:1","1:1",10.169,10.35,10.501,10.6795,0.3295,11.63,10.5984,0.352264,0.328005,0.357199,0.36327,0.36857,0.011371,0.37513,0.360313,0.0114538,0.390058,4.912
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:16384","1:16384","1:16384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:16384","1:16384","1:16384",1525.17,1530.62,1534.81,1536.37,5.75575,1540.4,1533.73,4.10851,40.5738,40.6802,40.7216,40.8332,0.152975,40.979,40.7506,0.10925,43.7245,1528.83
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:65536","1:65536","1:65536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"gpu0-cpu0-src0-dst1-d2h-only",-1,0,1,0,"d2h-only","0:65536","1:65536","1:65536",6108.99,6121.84,6127.27,6132.64,10.8015,6329.79,6131.08,29.3764,39.4958,40.7655,40.8012,40.8374,0.0719275,40.9233,40.7767,0.189799,43.81,6121.02
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:1","1:1","1:1",10.269,10.4215,10.8495,10.9593,0.53775,13.627,10.8124,0.515908,0.279937,0.34808,0.351601,0.366041,0.0179609,0.371477,0.353516,0.0149266,0.377529,5.12
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:1","1:1","1:1",10.204,10.5,10.7665,10.9775,0.4775,16.228,10.8528,0.817595,0.235069,0.347502,0.354312,0.363305,0.015803,0.373843,0.352926,0.0192418,0.380439,5.184
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:16384","1:16384","1:16384",1218.35,1218.62,1219.63,1219.82,1.1975,1611.08,1227.38,54.826,38.7938,51.2372,51.2449,51.2876,0.0503493,51.2988,50.9993,1.74429,55.0238,1213.65
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:16384","1:16384","1:16384",1507.67,1515.63,1518.26,1521.47,5.83775,1525.18,1518.04,4.22407,40.9787,41.0788,41.1655,41.237,0.158224,41.4546,41.1718,0.114765,44.2012,1512.4
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:65536","1:65536","1:65536",4839.96,4840.83,4841.53,4844,3.1705,4847.69,4842.28,1.88136,51.5709,51.6103,51.6366,51.6441,0.0338022,51.6533,51.6286,0.0200519,55.4444,4835.42
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"gpu0-cpu0-src0-dst1-interleaved",-1,0,1,0,"interleaved","0:65536","1:65536","1:65536",6075.16,6088.01,6090.85,6094.16,6.14975,6107.12,6091.09,6.42995,40.9358,41.0229,41.0452,41.0643,0.041439,41.1512,41.0436,0.0433232,44.0719,6084.85
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:1","2:1","2:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:1","2:1","2:1",10.195,10.3773,10.515,10.7485,0.37125,11.544,10.606,0.33894,0.330448,0.354908,0.362786,0.367602,0.0126941,0.374173,0.360026,0.0110519,0.389539,4.896
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:16384","2:16384","2:16384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:16384","2:16384","2:16384",2145.09,2150.01,2151.06,2152.41,2.39725,3156.32,2171.18,140.745,19.8015,29.0372,29.0555,29.0696,0.0323762,29.1363,28.8702,1.29573,31.1981,2145.12
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:65536","2:65536","2:65536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,2,"gpu0-cpu0-src0-dst2-d2h-only",-1,0,2,0,"d2h-only","0:65536","2:65536","2:65536",8561.01,8568.44,8570.44,8572.21,3.768,8577.11,8569.91,3.53221,29.1474,29.164,29.17,29.1768,0.012825,29.2021,29.1718,0.012027,31.3211,8564.29
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:1","2:1","2:1",10.346,10.613,10.8505,11.044,0.431,15.419,10.9788,0.792045,0.247402,0.34541,0.351569,0.359437,0.0140273,0.368712,0.348882,0.0198896,0.377494,5.184
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:1","2:1","2:1",10.274,10.4733,10.6395,10.7875,0.31425,11.038,10.6349,0.22026,0.345597,0.353622,0.358541,0.364232,0.0106105,0.371296,0.358849,0.00743004,0.384981,5.072
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:16384","2:16384","2:16384",1218.2,1218.57,1219.51,1219.74,1.17675,1223.35,1219.49,1.18959,51.0891,51.2402,51.2502,51.2897,0.0494818,51.3051,51.2511,0.0499095,55.0295,1213.58
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:16384","2:16384","2:16384",2148.27,2150.59,2151.74,2152.94,2.34975,2156.42,2151.92,1.75614,28.9832,29.0301,29.0462,29.0618,0.0317186,29.0932,29.0439,0.0236914,31.1881,2145.87
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:65536","2:65536","2:65536",4840.28,4840.82,4841.27,4843.93,3.11425,4997.15,4845.28,21.787,50.0285,51.6109,51.6393,51.6441,0.0332029,51.6499,51.5976,0.22516,55.4473,4835.23
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,2,"gpu0-cpu0-src0-dst2-interleaved",-1,0,2,0,"interleaved","0:65536","2:65536","2:65536",8560.16,8566.11,8569.08,8572.48,6.3665,8575.54,8568.96,4.00163,29.1527,29.1631,29.1747,29.1848,0.0216746,29.2051,29.1751,0.013626,31.326,8562.9
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:1","3:1","3:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,3,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:1","3:1","3:1",10.181,10.34,10.4545,10.8338,0.49375,15.169,10.7121,0.765642,0.25148,0.352113,0.364886,0.368926,0.016813,0.374688,0.357552,0.0203895,0.391793,4.864
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:16384","3:16384","3:16384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,3,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:16384","3:16384","3:16384",1810.51,1815.57,1817.37,1819.97,4.4065,1824.45,1817.86,3.28074,34.2568,34.3412,34.3904,34.4245,0.0833483,34.5208,34.3812,0.0620422,36.9264,1811.57
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"NOT_RUN (d2h-only)",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:65536","3:65536","3:65536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,3,"gpu0-cpu0-src0-dst3-d2h-only",-1,0,3,0,"d2h-only","0:65536","3:65536","3:65536",7224.83,7236.96,7239.21,7243.77,6.81025,7253.9,7240.03,6.03742,34.4642,34.5124,34.5341,34.5449,0.0324774,34.6029,34.5303,0.0287963,37.0808,7233.18
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:1","3:1","3:1",10.259,10.546,10.8015,10.9405,0.3945,13.593,10.8338,0.508323,0.280637,0.348677,0.353164,0.361723,0.0130456,0.371839,0.35279,0.0145829,0.379207,5.136
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,3,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:1","3:1","3:1",10.306,10.5852,10.797,10.9425,0.35725,13.024,10.8221,0.414978,0.292898,0.348613,0.353311,0.36038,0.0117666,0.370143,0.352956,0.0121842,0.379365,5.216
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:16384","3:16384","3:16384",1218.2,1218.71,1219.64,1219.84,1.12775,1233.26,1219.75,2.14823,50.6786,51.2362,51.2447,51.2836,0.047412,51.3052,51.24,0.0894526,55.0236,1213.63
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,3,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:16384","3:16384","3:16384",1807.47,1815.53,1817.61,1820.44,4.90875,2400.05,1829.44,81.6414,26.0411,34.3324,34.3859,34.4252,0.0928254,34.5786,34.2157,1.17094,36.9216,1811.33
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:65536","3:65536","3:65536",4839.96,4840.88,4841.46,4843.82,2.93625,4847.7,4842.19,1.91216,51.5708,51.6122,51.6374,51.6435,0.0313055,51.6533,51.6295,0.0203797,55.4452,4835.47
0,"w23g0011.hpc.itc.rwth-aachen.de",0,"0",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,3,"gpu0-cpu0-src0-dst3-interleaved",-1,0,3,0,"interleaved","0:65536","3:65536","3:65536",7226.11,7235.96,7241.02,7244.65,8.69025,7255.12,7239.96,5.75822,34.4584,34.5082,34.5255,34.5497,0.0414437,34.5967,34.5306,0.0274642,37.0715,7234.88
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"NOT_RUN (d2h-only)",4096,"latency","H2D",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:1","4:1","4:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",4096,"latency","D2H",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:1","4:1","4:1",10.347,10.494,10.6075,10.8093,0.31525,11.653,10.7117,0.327689,0.327358,0.352921,0.359624,0.363512,0.0105914,0.368677,0.356446,0.0104679,0.386143,4.96
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"NOT_RUN (d2h-only)",67108864,"bandwidth","H2D",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:16384","4:16384","4:16384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","D2H",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:16384","4:16384","4:16384",1516.13,1524.64,1528.45,1531.76,7.11075,1535.62,1527.88,4.72427,40.7003,40.8029,40.891,40.9932,0.1903,41.2235,40.9068,0.126676,43.9064,1522.61
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"NOT_RUN (d2h-only)",268435456,"bandwidth","H2D",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:65536","4:65536","4:65536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",268435456,"bandwidth","D2H",50,4,"gpu2-cpu48-src4-dst4-d2h-only",-1,4,4,0,"d2h-only","4:65536","4:65536","4:65536",6149.88,6159.91,6164.83,6169.44,9.53075,6184.83,6165.43,7.901,40.4215,40.5223,40.5526,40.585,0.062697,40.6512,40.5487,0.0519358,43.5431,6158.86
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",4096,"latency","H2D",50,4,"gpu2-cpu48-src4-dst4-interleaved",-1,4,4,0,"interleaved","4:1","4:1","4:1",10.349,10.4902,10.8255,10.978,0.48775,13.608,10.8125,0.476295,0.280328,0.347486,0.352381,0.363642,0.0161565,0.368605,0.353395,0.0135209,0.378366,5.152
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",4096,"latency","D2H",50,4,"gpu2-cpu48-src4-dst4-interleaved",-1,4,4,0,"interleaved","4:1","4:1","4:1",10.438,10.6273,10.7835,10.9865,0.35925,11.259,10.8104,0.220071,0.338813,0.347217,0.353754,0.358954,0.0117373,0.365462,0.353017,0.0071647,0.379841,5.168
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","H2D",50,4,"gpu2-cpu48-src4-dst4-interleaved",-1,4,4,0,"interleaved","4:16384","4:16384","4:16384",1218.36,1218.8,1219.68,1219.85,1.0525,1575.25,1226.64,49.8108,39.6762,51.2357,51.2429,51.2799,0.0442447,51.2986,51.0179,1.62075,55.0216,1213.7
0,"w23g0011.hpc.itc.rwth-aachen.de",48,"48",4,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","D2H",50,4,"gpu2-cpu48-src4-dst4-interleaved",-1,4,4,0,"interleaved","4:16384","4:16384","4:16384",1513.48,1524.37,1527.39,1531.14,6.77075,1535,1527.15,4.76079,40.7165,40.8193,40.9195,41.0006,0.181305,41.2954,40.9263,0.127827,43.937,1521.38
