rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,reg_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,"fwd-n0-auto",-1,0,"0:1","0:1","0:1",10.294,10.6837,10.8675,11.012,0.32825,13.516,10.9286,0.525046,0.282236,0.346413,0.351019,0.357057,0.0106438,0.370575,0.349769,0.014933,0.376904,5.216
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,"fwd-n0-auto",-1,0,"0:1","0:1","0:1",10.277,10.4897,10.6685,10.7845,0.29475,19.251,10.8132,1.22625,0.198156,0.35372,0.357567,0.36366,0.00993917,0.371188,0.355443,0.0236885,0.383935,5.056
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,"fwd-n0-auto",-1,0,"0:16384","0:16384","0:16384",1218.06,1218.8,1219.58,1219.86,1.06325,1222.45,1219.47,0.949455,51.1269,51.2354,51.247,51.2801,0.0446966,51.3109,51.2518,0.0398697,55.0261,1213.49
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,"fwd-n0-auto",-1,0,"0:16384","0:16384","0:16384",1543.25,1551.52,1554.31,1557.11,5.58375,1562.34,1554.2,4.14705,40.004,40.1386,40.2109,40.283,0.144455,40.4988,40.2139,0.107362,43.1761,1548.16
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,"fwd-n0-auto",-1,0,"0:65536","0:65536","0:65536",4840.3,4841.02,4841.49,4843.14,2.1175,4848.47,4842.26,1.88403,51.5626,51.6194,51.6369,51.642,0.0225787,51.6497,51.6288,0.0200769,55.4447,4835.36
0,"n23g0004.hpc.itc.rwth-aachen.de",0,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,"fwd-n0-auto",-1,0,"0:65536","0:65536","0:65536",6260.87,6270.25,6275.45,6281.75,11.4997,6299.76,6276.51,9.03766,39.6841,39.7978,39.8378,39.8708,0.0729898,39.9306,39.8311,0.0573069,42.7755,6269.41
0,"n23g0004.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,1,"fwd-n1-auto",-1,0,"1:1","1:1","1:1",10.357,10.8302,11.0135,11.2043,0.374,13.309,11.0773,0.467034,0.286625,0.340471,0.346366,0.352226,0.0117551,0.368321,0.344935,0.0134767,0.371907,5.232
0,"n23g0004.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"fwd-n1-auto",-1,0,"1:1","1:1","1:1",10.404,10.6382,10.8015,10.9067,0.2685,18.802,11.3857,2.14153,0.202888,0.349756,0.353164,0.358583,0.00882741,0.366657,0.34278,0.0412455,0.379207,5.056
0,"n23g0004.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,1,"fwd-n1-auto",-1,0,"1:16384","1:16384","1:16384",1410.2,1415.01,1416.6,1418.64,3.63275,1422.18,1416.68,2.77787,43.9465,44.0562,44.1197,44.1694,0.113105,44.32,44.1173,0.0865284,47.3731,1410.53
0,"n23g0004.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"fwd-n1-auto",-1,0,"1:16384","1:16384","1:16384",1548.94,1555.81,1559.08,1561.53,5.71675,1567.74,1558.83,4.31598,39.8663,40.0248,40.0877,40.1719,0.147069,40.3501,40.0944,0.111034,43.0439,1552.67
