rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,reg_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"fwd-n1-auto",-1,0,"1:65536","1:65536","1:65536",6226.18,6233.22,6239.83,6245.95,12.7345,6265.85,6240.15,9.26363,39.8988,40.0259,40.0652,40.1077,0.0817731,40.153,40.0632,0.0594294,43.0197,6233.17
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,2,"fwd-n2-auto",-1,0,"2:1","2:1","2:1",10.161,10.6188,10.758,10.95,0.33125,15.663,10.9324,0.83806,0.243548,0.348374,0.354592,0.359242,0.0108675,0.375425,0.35052,0.0208837,0.38074,5.12
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"fwd-n2-auto",-1,0,"2:1","2:1","2:1",10.188,10.3972,10.5525,10.6762,0.279,13.844,10.6242,0.510779,0.275549,0.357307,0.361497,0.366895,0.00958768,0.37443,0.359735,0.0141359,0.388155,4.96
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,2,"fwd-n2-auto",-1,0,"2:16384","2:16384","2:16384",1612.06,1615.43,1617.75,1619.59,4.1645,1625.08,1617.89,2.96721,38.4596,38.59,38.6338,38.6895,0.0994834,38.7703,38.6308,0.070799,41.4828,1611.73
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"fwd-n2-auto",-1,0,"2:16384","2:16384","2:16384",2182.47,2189.03,2190.15,2192.5,3.4775,2200.59,2190.78,2.87339,28.4014,28.5062,28.5368,28.5515,0.0452851,28.6373,28.5287,0.0373885,30.6412,2184.06
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,2,"fwd-n2-auto",-1,0,"2:65536","2:65536","2:65536",6426.74,6432.74,6436.24,6439.23,6.49575,6445.01,6436.14,4.74205,38.7897,38.8245,38.8426,38.8637,0.0392048,38.8999,38.8432,0.0286179,41.7069,6430.13
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,2,"fwd-n2-auto",-1,0,"2:65536","2:65536","2:65536",8715.71,8721.1,8724.01,8726.82,5.72575,8738.88,8724.15,4.65802,28.6078,28.6473,28.6565,28.6661,0.0188081,28.6838,28.6561,0.0152946,30.7697,8717.47
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,3,"fwd-n3-auto",-1,0,"3:1","3:1","3:1",10.418,10.9277,11.074,11.2112,0.2835,13.514,11.1388,0.528056,0.282277,0.340258,0.344473,0.349084,0.00882554,0.366164,0.343166,0.0147589,0.369875,5.28
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,3,"fwd-n3-auto",-1,0,"3:1","3:1","3:1",10.217,10.4995,10.61,10.7833,0.28375,11.432,10.654,0.258369,0.333686,0.353762,0.359538,0.363322,0.00956023,0.373368,0.358261,0.00853964,0.386051,4.976
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,3,"fwd-n3-auto",-1,0,"3:16384","3:16384","3:16384",1942.01,1946.07,1947.4,1950.08,4.0085,1955.37,1947.88,3.10235,31.9632,32.05,32.0941,32.116,0.0660155,32.1831,32.0862,0.0510784,34.4608,1940.94
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,3,"fwd-n3-auto",-1,0,"3:16384","3:16384","3:16384",1819.53,1825.61,1828.69,1830.95,5.341,1835.69,1828.2,3.67146,34.0472,34.1352,34.1775,34.2351,0.0998656,34.3496,34.1867,0.068714,36.6978,1822.18
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,3,"fwd-n3-auto",-1,0,"3:65536","3:65536","3:65536",7737.52,7747.98,7752.9,7757.05,9.0685,7770.89,7753.08,7.01701,32.1714,32.2287,32.246,32.2665,0.0377215,32.3101,32.2453,0.0291725,34.6239,7746.82
0,"n23g0009.hpc.itc.rwth-aachen.de",36,"36,37,38,39,40,41,42,43,44,45,46,47",3,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,3,"fwd-n3-auto",-1,0,"3:65536","3:65536","3:65536",7265.91,7276.71,7279.92,7285.37,8.66875,7334.21,7282.5,12.2658,34.0868,34.3153,34.341,34.3562,0.0408799,34.4073,34.329,0.0575765,36.8734,7273.5
