transport,locality_tier,simplex_pairs,duplex_pairs,simplex_lat_median_us,duplex_lat_median_us,simplex_bw_median_gibs,duplex_bw_median_gibs,duplex_efficiency_ratio
tcp,same_numa,1056,1056,9.516875,25.27525,7.001335,7.9531600000000005,1.1359490725697314
tcp,same_socket_diff_numa,3456,3456,9.915125,24.829,6.6506050000000005,7.86248,1.182220264171455
tcp,cross_socket,4608,4608,21.5715,43.353750000000005,2.277425,3.1020849999999998,1.3621019352997352
tcp,cross_node,9216,9216,23.98225,50.277,1.92036,2.281835,1.188232935491262
