transport,locality_tier,pair_count,lat_mean_us,lat_median_us,lat_p25_us,lat_p75_us,lat_p95_us,lat_min_us,lat_max_us,bw_mean_gibs,bw_median_gibs,bw_p25_gibs,bw_p75_gibs,bw_p95_gibs,bw_min_gibs,bw_max_gibs
tcp,same_numa,1056,26.02586458333333,25.27525,24.633625000000002,26.05625,33.81575,22.944,39.568,7.8043154734848486,7.9531600000000005,7.759405,8.090265,8.27354,5.26201,8.48833
tcp,same_socket_diff_numa,3456,24.87879933449074,24.829,24.229375,25.4005,26.334625000000003,22.774,37.49,7.8529126707175925,7.86248,7.699814999999999,8.01328,8.208535,5.49809,8.45469
tcp,cross_socket,4608,47.34712065972222,43.353750000000005,37.40275,57.753875,60.574974999999995,34.521,64.922,3.5071153255208336,3.1020849999999998,2.4664225,4.5655925,4.635075499999999,1.97396,4.71884
tcp,cross_node,9216,54.96891525607639,50.277,42.148375,61.823375,89.004125,22.477,1986.61,2.645319485677083,2.281835,2.11136,3.06643,4.340730000000001,1.7331,5.61606
