target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,sender_ip,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25",134.61.45.208,"ib0",64,20,2214.33,2301.21,2327.96,2448.27,2620.84,2781.81,2920.46
0,"n23m0123.hpc.itc.rwth-aachen.de",26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26",134.61.45.208,"ib0",64,20,2226.97,2315.04,2340.99,2461.44,2634.89,2795.86,2935.37
0,"n23m0123.hpc.itc.rwth-aachen.de",27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27",134.61.45.208,"ib0",64,20,2243.01,2337.76,2360.04,2480.13,2649.8,2809.96,2951.09
0,"n23m0123.hpc.itc.rwth-aachen.de",28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28",134.61.45.208,"ib0",64,20,2255.1,2357.39,2372.03,2494.03,2661.7,2824.51,2967.16
0,"n23m0123.hpc.itc.rwth-aachen.de",29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29",134.61.45.208,"ib0",64,20,2272.15,2361.36,2387.21,2508.39,2677.31,2838.43,2982.56
0,"n23m0123.hpc.itc.rwth-aachen.de",30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30",134.61.45.208,"ib0",64,20,2284.16,2374.67,2400.18,2669.5,2772.03,3124.55,5548.41
0,"n23m0123.hpc.itc.rwth-aachen.de",31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31",134.61.45.208,"ib0",64,20,2300.63,2398.09,2442.99,2560.61,2786.81,2980.91,3013
0,"n23m0123.hpc.itc.rwth-aachen.de",32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32",134.61.45.208,"ib0",64,20,2285.11,2396.29,2447.52,2557.23,2781.99,2979.7,3010.34
0,"n23m0123.hpc.itc.rwth-aachen.de",33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33",134.61.45.208,"ib0",64,20,2314.97,2413.6,2456.17,2574.61,2798.73,2997.84,3028.05
0,"n23m0123.hpc.itc.rwth-aachen.de",34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34",134.61.45.208,"ib0",64,20,2322.5,2425.79,2461.27,2586.04,2810.41,3009.66,3043.19
0,"n23m0123.hpc.itc.rwth-aachen.de",35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35",134.61.45.208,"ib0",64,20,2342.18,2444.38,2501.9,2629.37,2875.41,3029.88,3061.07
0,"n23m0123.hpc.itc.rwth-aachen.de",36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36",134.61.45.208,"ib0",64,20,2349.08,2457.77,2510.69,2813.27,2886.35,3246.77,6421.74
0,"n23m0123.hpc.itc.rwth-aachen.de",37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37",134.61.45.208,"ib0",64,20,2371.61,2470.81,2530.48,2957.63,2904.25,3392.25,8999.71
0,"n23m0123.hpc.itc.rwth-aachen.de",38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38",134.61.45.208,"ib0",64,20,2378.4,2483.35,2544.21,3145.48,2918.02,3585.93,12528.2
0,"n23m0123.hpc.itc.rwth-aachen.de",39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39",134.61.45.208,"ib0",64,20,2400.79,2499.31,2563.59,3244.4,2935.53,3685.28,14177.6
0,"n23m0123.hpc.itc.rwth-aachen.de",40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40",134.61.45.208,"ib0",64,20,2409.22,2515.88,2576.01,3430.24,2947.77,3870.39,17607.1
0,"n23m0123.hpc.itc.rwth-aachen.de",41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41",134.61.45.208,"ib0",64,20,2430.69,2530.59,2599.43,3657,2966.78,4097.15,21792.7
0,"n23m0123.hpc.itc.rwth-aachen.de",42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42",134.61.45.208,"ib0",64,20,2437.05,2542.54,2610.94,3856.92,2978.66,4301.57,25576.6
0,"n23m0123.hpc.itc.rwth-aachen.de",43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43",134.61.45.208,"ib0",64,20,2459.69,2559.53,2628.81,4065.39,2995.7,4512.14,29428.1
0,"n23m0123.hpc.itc.rwth-aachen.de",44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44",134.61.45.208,"ib0",64,20,2464.84,2578.18,2657.15,4282.68,3008.11,4724.61,33437.9
0,"n23m0123.hpc.itc.rwth-aachen.de",45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45",134.61.45.208,"ib0",64,20,2487.85,2597.53,2660.45,4505.1,3029.48,4951.46,37547.5
0,"n23m0123.hpc.itc.rwth-aachen.de",46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46",134.61.45.208,"ib0",64,20,2491.35,2609.27,2671.01,4709.84,3040.25,5161.95,41431.8
0,"n23m0123.hpc.itc.rwth-aachen.de",47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47",134.61.45.208,"ib0",64,20,2509.68,2621.99,2690.85,4925.87,3057.14,5378.92,45426.8
0,"n23m0123.hpc.itc.rwth-aachen.de",48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48",134.61.45.208,"ib0",64,20,2528.33,2643.92,2686.91,5140.17,3076.16,5597.13,49446.5
0,"n23m0123.hpc.itc.rwth-aachen.de",49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49",134.61.45.208,"ib0",64,20,2554.69,2663.77,2724.9,5362.36,3096.23,5817.33,53433.8
0,"n23m0123.hpc.itc.rwth-aachen.de",50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50",134.61.45.208,"ib0",64,20,2561.77,2676.37,2744.64,5573.77,3111.22,6030.31,57372
0,"n23m0123.hpc.itc.rwth-aachen.de",51,"n23m0123.hpc.itc.rwth-aachen.de",51,"51",134.61.45.208,"ib0",64,20,2568.07,2696.35,2762.2,5790.64,3130.19,6252.68,61432.8
0,"n23m0123.hpc.itc.rwth-aachen.de",52,"n23m0123.hpc.itc.rwth-aachen.de",52,"52",134.61.45.208,"ib0",64,20,2602.85,2712.28,2778.94,6012.15,3148.31,6468.61,65427
0,"n23m0123.hpc.itc.rwth-aachen.de",53,"n23m0123.hpc.itc.rwth-aachen.de",53,"53",134.61.45.208,"ib0",64,20,2622.29,2731.03,2800.44,6230.64,3165.36,6688.21,69432.1
0,"n23m0123.hpc.itc.rwth-aachen.de",54,"n23m0123.hpc.itc.rwth-aachen.de",54,"54",134.61.45.208,"ib0",64,20,2596.89,2739.49,2813.7,6436.17,3180.97,6900.37,73428
0,"n23m0123.hpc.itc.rwth-aachen.de",55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55",134.61.45.208,"ib0",64,20,2657.76,2767.07,2836.41,6665.7,3204.89,7125.19,77431.7
