target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30",64,20,0.269,1.13975,1.7705,1.96385,2.125,3.5474,7.906
0,"n23m0123.hpc.itc.rwth-aachen.de",31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31",64,20,0.281,1.08125,1.5725,2.35965,2.17525,8.1257,9.868
0,"n23m0123.hpc.itc.rwth-aachen.de",32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32",64,20,0.145,0.191,0.297,0.54505,0.399,1.2475,4.753
0,"n23m0123.hpc.itc.rwth-aachen.de",33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33",64,20,0.15,0.18825,0.3385,0.30245,0.38975,0.43365,0.465
0,"n23m0123.hpc.itc.rwth-aachen.de",34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34",64,20,0.135,0.18125,0.327,0.5915,0.51425,1.024,5.128
0,"n23m0123.hpc.itc.rwth-aachen.de",35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35",64,20,0.149,0.16475,0.275,0.623,0.419,0.9644,6.881
0,"n23m0123.hpc.itc.rwth-aachen.de",36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36",64,20,0.165,0.18675,0.2205,0.5668,0.35875,1.1506,5.437
0,"n23m0123.hpc.itc.rwth-aachen.de",37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37",64,20,0.147,0.18975,0.317,0.62415,0.49925,1.1427,5.754
0,"n23m0123.hpc.itc.rwth-aachen.de",38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38",64,20,0.156,0.20325,0.295,0.6063,0.384,1.16395,6.122
0,"n23m0123.hpc.itc.rwth-aachen.de",39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39",64,20,0.172,0.35225,0.3855,0.44575,0.453,0.76905,1.074
0,"n23m0123.hpc.itc.rwth-aachen.de",40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40",64,20,0.16,0.2485,0.36,0.7455,0.575,1.3916,7.065
0,"n23m0123.hpc.itc.rwth-aachen.de",41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41",64,20,0.166,0.24575,0.306,0.6504,0.384,1.49065,6.348
0,"n23m0123.hpc.itc.rwth-aachen.de",42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42",64,20,0.162,0.186,0.3245,0.56125,0.40125,1.15035,4.881
0,"n23m0123.hpc.itc.rwth-aachen.de",43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43",64,20,0.18,0.27075,0.3645,0.6773,0.4415,1.1078,5.949
0,"n23m0123.hpc.itc.rwth-aachen.de",44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44",64,20,0.169,0.18075,0.3125,0.6128,0.42275,1.452,5.214
0,"n23m0123.hpc.itc.rwth-aachen.de",45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45",64,20,0.152,0.2295,0.385,0.6613,0.47325,1.0878,5.986
0,"n23m0123.hpc.itc.rwth-aachen.de",46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46",64,20,0.18,0.3325,0.4445,0.6831,0.59225,1.0895,5.165
0,"n23m0123.hpc.itc.rwth-aachen.de",47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47",64,20,0.19,0.2935,0.3725,0.4251,0.409,0.53415,2.038
0,"n23m0123.hpc.itc.rwth-aachen.de",48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48",64,20,0.165,0.26625,0.3065,0.50465,0.387,1.05585,3.694
0,"n23m0123.hpc.itc.rwth-aachen.de",49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49",64,20,0.234,0.31175,0.4245,0.54465,0.7655,0.9566,1.215
0,"n23m0123.hpc.itc.rwth-aachen.de",50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50",64,20,0.125,0.21775,0.293,0.4677,0.58725,1.4059,1.67
0,"n23m0123.hpc.itc.rwth-aachen.de",51,"n23m0123.hpc.itc.rwth-aachen.de",51,"51",64,20,0.164,0.30875,0.3495,0.5575,0.383,1.2517,4.191
0,"n23m0123.hpc.itc.rwth-aachen.de",52,"n23m0123.hpc.itc.rwth-aachen.de",52,"52",64,20,0.155,0.2485,0.2965,0.61675,0.4105,1.08485,5.471
0,"n23m0123.hpc.itc.rwth-aachen.de",53,"n23m0123.hpc.itc.rwth-aachen.de",53,"53",64,20,0.151,0.21275,0.2865,0.55515,0.383,1.4644,3.885
0,"n23m0123.hpc.itc.rwth-aachen.de",54,"n23m0123.hpc.itc.rwth-aachen.de",54,"54",64,20,0.16,0.211,0.302,0.40155,0.40075,1.18235,1.607
0,"n23m0123.hpc.itc.rwth-aachen.de",55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55",64,20,0.146,0.1655,0.297,0.34445,0.4285,0.65815,0.908
0,"n23m0123.hpc.itc.rwth-aachen.de",56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56",64,20,0.148,0.23325,0.285,0.589,0.35475,1.42495,5.528
0,"n23m0123.hpc.itc.rwth-aachen.de",57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57",64,20,0.161,0.21325,0.306,0.55245,0.3955,1.02075,4.759
0,"n23m0123.hpc.itc.rwth-aachen.de",58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58",64,20,0.144,0.22225,0.3435,0.547,0.47975,1.95005,2.407
0,"n23m0123.hpc.itc.rwth-aachen.de",59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59",64,20,0.15,0.19575,0.2295,0.5153,0.38825,1.21135,3.764
0,"n23m0123.hpc.itc.rwth-aachen.de",60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60",64,20,0.154,0.19625,0.3145,0.4526,0.51025,0.7918,2.403
0,"n23m0123.hpc.itc.rwth-aachen.de",61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61",64,20,0.166,0.18,0.289,0.39035,0.36975,0.863,2.003
