pattern,target_rank,target_host,target_cpu,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,64,32,32,4194304,50,29.0636,29.6923,29.9076,30.0071,30.2144,31.2017,31.7911,8.35908,8.35908,16.7182,24860.4,30051.8,32133.1,28500.2,30359.3,15891.9,25624.5
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,64,32,32,4194304,50,32.3369,34.3417,34.8653,35.9929,37.6091,41.099,44.4196,7.17045,7.17045,14.3409,27376,38270.7,44401.5,32913.3,40251.1,16850.3,28236.9
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,96,48,48,4194304,50,51.268,51.6992,53.0542,53.1749,54.2207,56.1905,58.2749,7.06824,0,7.06824,32130.6,53268.7,58255.2,49762.5,54187.4,19736.3,31221.5
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,96,48,48,4194304,50,8.29454,8.80269,9.05694,9.62296,9.77296,12.5814,14.9924,0,41.4047,41.4047,8191.19,11312.8,14990.9,8809.5,12008.8,8129.13,8205.85
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,96,48,48,4194304,50,47.2532,47.7179,47.9354,48.1166,48.218,49.4966,50.1877,7.82302,7.82302,15.646,39610.4,47364.6,49928.3,45058.3,47863.4,24556.4,40523.5
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,96,48,48,4194304,50,59.8214,64.5006,65.7138,65.6501,67.4027,69.158,69.9544,5.70656,5.70656,11.4131,49688.6,66620,69889.8,58932.6,67674,29425.9,50690.1
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,72.2107,73.2052,74.0397,74.8093,75.2518,79.299,85.7303,6.75313,0,6.75313,46461.5,75275.3,87873.1,70997.7,77614.4,27807,44334.3
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,10.9677,11.5498,11.8521,12.0715,12.1188,13.87,16.1397,0,42.1867,42.1867,10928.5,12634.2,16132.2,11626.3,13696.9,10807.6,10948.8
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,61.4386,64.013,64.318,64.3551,64.9006,65.4268,70.0476,7.77388,7.77388,15.5478,53031.8,63654.6,70025.6,60129.8,64219.2,32483.5,54139.4
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,81.4794,87.6259,89.5478,89.661,91.9006,94.0433,95.2507,5.58361,5.58361,11.1672,68974.4,91089.2,95231.9,81040.7,92715.6,40826.9,70353.5
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,92.192,93.5109,94.0691,94.3331,94.8534,96.9809,98.9622,6.64405,0,6.64405,58577.4,94269.4,111692,89925.1,95108.8,35671.8,57313.2
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,13.8472,14.3218,14.6188,14.7284,14.8628,15.8892,17.951,0,42.7532,42.7532,13647.1,15018.6,17948.1,14362.5,15878.5,13449.8,13664.4
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,77.7403,80.8583,81.3362,83.1633,81.8154,84.3918,154.051,7.68415,7.68415,15.3683,67626.4,80261.5,154046,75985.7,80936.4,40591.1,68667.1
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,107.874,113.063,115.728,116.322,119.358,123.488,125.904,5.40059,5.40059,10.8012,89169.4,118388,125879,105590,120218,53656.2,90740
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,111.243,112.952,113.871,114.707,114.99,120.99,122.281,6.5521,0,6.5521,72733.5,114632,123002,108882,117545,44352.1,70470.6
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,16.7388,17.3254,17.5371,17.6028,17.844,18.4836,19.125,0,42.5436,42.5436,16373.7,17951.6,19121.8,17271.4,18266.3,16097.9,16392.9
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,91.6621,94.9769,95.784,95.5163,96.4908,97.2096,97.5524,7.78933,7.78933,15.5787,79340.2,94438.7,97525.5,89293.8,95348.6,47807.1,81631.1
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,129.383,137.149,139.851,139.616,142.347,146.043,149.883,5.33491,5.33491,10.6698,107924,141425,149873,127431,143013,64938.9,110607
