pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",24,12,12,4194304,50,41.2048,41.6813,41.9233,41.933,42.1501,42.6673,42.729,2.23623,2.23623,4.47246,36079.1,41457.4,42685.7,31271.6,41859.5,37048.8,40315.9
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",24,12,12,4194304,50,38.2959,41.2271,46.9621,48.3216,53.559,62.2826,63.7151,1.99629,1.99629,3.99258,36070.5,56755.2,63800.7,25955.8,53356.7,38481.6,56959.2
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",32,16,16,4194304,50,32.4297,35.3316,41.0618,45.3823,51.8991,54.8531,170.92,3.0442,0,3.0442,31571.1,51547,59069.6,10023.3,48226.6,36819,52266
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",32,16,16,4194304,50,18.9736,20.4029,25.3961,28.4852,28.4189,55.9294,108.162,0,4.92202,4.92202,15013.8,25527.6,107958,7794.1,26649.3,16561.1,23591.5
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",32,16,16,4194304,50,53.4087,56.5502,62.3541,62.7731,68.3574,72.7569,80.4815,2.00468,2.00468,4.00936,52688.4,67538.1,80407.7,46814.1,67640.2,55589.5,67244.9
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",32,16,16,4194304,50,51.775,56.1407,62.8529,64.7076,71.7099,82.4356,85.1038,1.98877,1.98877,3.97754,48613.7,74011.3,85102.2,27896.7,68933.4,53372.2,74702.6
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",48,24,24,4194304,50,49.5601,51.8771,57.1191,61.4078,70.4957,80.0084,80.5164,3.28262,0,3.28262,46811.5,73974.9,80328.2,13518.5,61275.8,52656.8,76430.4
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",48,24,24,4194304,50,29.3708,31.9744,32.6139,33.0366,33.7856,35.1154,56.084,0,5.74907,5.74907,20872.2,31556.7,55905.8,10417.6,32371.3,23641.7,30238.5
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",48,24,24,4194304,50,77.5755,79.4169,84.0117,87.7649,95.9618,104.054,109.407,2.23183,2.23183,4.46366,73105.5,96489.4,109255,63407.7,95128,76989.3,97127.2
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",48,24,24,4194304,50,78.3461,83.7,91.4699,95.4842,104.027,122.211,123.712,2.04986,2.04986,4.09971,71170.3,108922,136442,27465.8,98261.3,79520.6,112882
