pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
fanout,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,599.617,740.997,780.628,813.257,872.039,1032.1,1223.72
fanout,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,527.031,638.449,695.254,720.231,774.291,915.177,1108.98
fanout,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,511.858,649.484,707.411,740.412,822.88,952.587,1112.55
fanout,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.757,693.165,694.57,695.159,697.673,699.979,700.594
fanout,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,690.87,692.787,694.595,695.004,697.408,699.084,700.919
fanout,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.578,692.266,694.5,694.706,697.056,699.07,700.969
fanout,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,689.317,692.51,694.746,695.027,697.462,700.496,702.139
full_duplex,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1669.92,1962.81,1999.3,2022.48,2097.57,2181.83,2233.24
full_duplex,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1549.32,1628.81,1663.49,1698.55,1766.17,1852.97,2008.14
full_duplex,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2010.98,2063.39,2090.95,2118.76,2187.26,2268.72,2320.84
full_duplex,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1941.72,2000.01,2031.6,2059.92,2133.11,2202.31,2259.97
full_duplex,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1519.71,1805,1890.32,1919.78,2046.53,2205.35,2271.36
full_duplex,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1656.98,1849.11,1941.9,1945.76,2048.46,2248.8,2302.41
full_duplex,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1486.83,1763.98,1886.78,1868.86,1995.78,2093.93,2147.05
full_duplex,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1419.56,1496.29,1561,1582.21,1664.86,1721.99,1767.48
immediate_response,0,8,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1969.74,2000.08,2034.3,2133.93,2120.27,2713.68,2879.62
immediate_response,0,8,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1906.08,2304.97,2414.76,2398.2,2537.27,2641.81,2737.15
immediate_response,0,8,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2469.25,2540.89,2630.13,2639.85,2733.33,2859.92,2896.79
immediate_response,0,8,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2390.84,2460.25,2555.98,2566.71,2675.87,2795.04,2822.53
immediate_response,0,8,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1489.81,1659.18,1727.2,1748.97,1855.1,1916.87,2036.23
immediate_response,0,8,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1590.3,1730.5,1821.23,1816.04,1895.18,2008.32,2040.91
immediate_response,0,8,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1488.73,1643.82,1728.54,1734.37,1815.29,1939.04,2150.46
immediate_response,0,8,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1486.23,1535.95,1613.63,1649.05,1724.9,1862.07,1988.53
incast,0,12,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2260.26,2476.07,2588.11,2572.27,2654.34,2808.98,3223.34
incast,0,12,16,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2670.3,2982.26,3096.98,3059.62,3151.06,3257.74,3487.05
incast,0,12,32,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3075.33,3303.82,3429.94,3387.97,3470.94,3623.63,3811.91
incast,0,12,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3145.47,3371.14,3505.47,3459.38,3542.06,3669.61,3886.61
incast,0,12,64,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2930.32,3240.34,3358.34,3318.6,3414.55,3495.57,3745.48
incast,0,12,80,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2954.63,3170.16,3302.35,3279.88,3362,3561.97,3690.42
incast,0,12,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1312.54,1554.37,1652.81,1631.13,1733.69,1850.43,2052.39
incast,0,12,112,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1429.72,1811.75,1951.87,1934.8,2079.62,2176.84,2376.5
incast,0,12,128,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1411.89,1668.54,1737.29,1745.7,1829.02,2006.7,2112.42
incast,0,12,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1380.55,1696.33,1818.23,1794.67,1880.64,2028.24,2203.34
incast,0,12,160,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1326.39,1516.34,1634.95,1638.35,1747.67,1915.6,1994.84
incast,0,12,176,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1519.66,1759.47,1924.32,1885.74,2006.76,2104.43,2147.81
fanout,0,12,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,860.168,1191.79,1242.87,1231.11,1284.17,1378.1,1448.55
fanout,0,12,16,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1147.6,1450.4,1513.61,1499.98,1572.02,1631.89,1715.05
fanout,0,12,32,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,950.807,1284.71,1336.95,1319.58,1371.67,1462.02,1509.75
fanout,0,12,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,985.949,1303.76,1363.41,1350.86,1417.97,1484.83,1563.18
fanout,0,12,64,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,977.228,1196.82,1251.02,1241.62,1306.43,1368.61,1409.21
fanout,0,12,80,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,977.424,1169.46,1230.18,1229.19,1294.73,1344.05,1379.34
fanout,0,12,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1025.32,1029.11,1030.56,1030.31,1031.37,1032.56,1036.66
fanout,0,12,112,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1027.19,1029.84,1030.64,1030.68,1031.39,1033,1039.2
fanout,0,12,128,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1023.33,1026.34,1030.1,1029.42,1031.93,1033.09,1033.74
fanout,0,12,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1028.11,1030.51,1031.37,1031.27,1032.01,1033.38,1034.16
fanout,0,12,160,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1027.56,1030.34,1031.25,1031.35,1032.36,1033.73,1040.31
fanout,0,12,176,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1029.36,1030.59,1031.67,1031.62,1032.25,1032.84,1040.58
full_duplex,0,12,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2798.16,3109.04,3275.98,3265.5,3384.68,3722.93,3937.32
full_duplex,0,12,16,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2244.36,2546.19,2671.59,2721.97,2801.59,3421.2,3774.25
full_duplex,0,12,32,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3385.66,3597.78,3734.8,3708.28,3809.36,3917.16,4186.13
full_duplex,0,12,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3184.8,3593.87,3731.18,3742.44,3872.43,3972.84,4455.89
