pattern,target_rank,target_host,target_cpu,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,10.9617,11.5019,11.6977,11.9989,12.0529,14.4963,15.7012,0,42.7433,42.7433,10936.1,12522.2,15691.6,11513.5,14149.2,10819.4,10954.6
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,59.6447,62.1646,63.1319,63.1266,64.1682,65.4169,66.396,7.91993,7.91993,15.8399,53080.8,62690.8,66368.3,59273.9,63528.3,32544.1,54399.3
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,128,64,64,4194304,50,70.9609,72.7615,73.635,73.4423,74.1921,74.9923,75.3395,6.79025,6.79025,13.5805,55572.5,73930,75313.6,70101.9,74208.8,33589.3,56644.3
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,76.2009,78.8611,80.394,80.0652,81.2791,81.7859,83.3664,7.77421,0,7.77421,50730.4,79564.5,85975.9,75589.5,80333.6,30295.4,49415.3
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,13.8189,14.4758,14.7651,14.7906,14.975,15.5773,16.9891,0,42.3295,42.3295,13659.1,15179.5,16985.2,14472.8,15454.9,13450.3,13675.5
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,75.5426,78.4501,79.1754,79.0531,79.6546,81.3745,82.4349,7.89386,7.89386,15.7877,66415,78350.8,82397.1,74432.6,79035,40913.1,68140
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,160,80,80,4194304,50,89.6537,109.178,111.395,111.669,113.641,120.489,155.043,5.61065,5.61065,11.2213,80331.4,112848,155038,105162,113743,48059.1,83237.3
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,93.7062,105.586,106.644,106.611,109.324,110.997,112.408,6.99615,0,6.99615,68626.3,106823,112387,101173,108423,40078,66613.4
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,16.7633,17.2366,17.3843,17.5115,17.6357,18.4191,19.6152,0,42.9177,42.9177,16380.5,17758.1,19607.8,17124.3,18326.8,16103.4,16411.6
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,70.6177,91.9878,92.8099,92.4142,93.7336,95.0409,95.3237,8.03895,8.03895,16.0779,76595.5,91776.5,95308,87220.9,92704.4,48309.4,80591.6
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,191,95,96,4194304,50,123.934,130.929,133.614,133.307,136.307,138.752,143.173,5.58394,5.58394,11.1679,98007.1,135995,143144,126869,137117,59091.2,100720
