pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",128,64,64,4194304,50,205.259,206.758,208.119,210.332,208.941,210.17,326.388,2.40247,2.40247,4.80495,177195,204765,210140,149011,205544,188423,203943
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",128,64,64,4194304,50,211.824,218.518,220.159,221.229,221.948,232.603,245.246,2.27109,2.27109,4.54217,167094,217337,422049,57013.1,214344,198645,218378
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",160,80,80,4194304,50,172.089,178.308,179.992,183.21,182.026,186.273,323.173,3.47238,0,3.47238,145214,178941,321907,38436.5,154625,171361,180006
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",160,80,80,4194304,50,96.6837,99.3817,100.216,105.294,101.622,111.627,292.726,0,6.23654,6.23654,63002.6,94948.6,292291,28035.4,97036.8,76614.8,93834.7
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",160,80,80,4194304,50,257.991,260.69,261.171,261.439,261.984,263.986,267.492,2.39307,2.39307,4.78614,222777,257575,463711,186811,258316,236853,256711
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",160,80,80,4194304,50,263.325,267.237,269.737,269.549,270.987,273.853,274.589,2.31707,2.31707,4.63415,208747,265154,273913,69835.6,262836,242517,266000
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",191,95,96,4194304,50,205.524,208.626,211.767,222.231,213.982,230.39,528.576,3.52318,0,3.52318,161572,211126,527281,46693.6,180001,199613,213950
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",191,95,96,4194304,50,115.617,117.858,118.698,119.877,119.65,124.011,156.043,0,6.28563,6.28563,74157.6,111972,155917,32441.3,114109,90767.6,111207
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",191,95,96,4194304,50,311.542,313.152,314.334,314.644,315.988,317.906,318.853,2.37357,2.37357,4.74713,267723,310081,317900,224176,311060,285020,309209
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",191,95,96,4194304,50,309.225,315.409,317.258,317.635,320.178,323.405,326.194,2.35169,2.35169,4.70339,248657,312611,325225,81107.2,309811,282498,313487
