transport,locality_tier,pair_count,lat_mean_us,lat_median_us,lat_p25_us,lat_p75_us,lat_p95_us,lat_min_us,lat_max_us,bw_mean_gibs,bw_median_gibs,bw_p25_gibs,bw_p75_gibs,bw_p95_gibs,bw_min_gibs,bw_max_gibs
tcp,same_numa,1056,9.754505397727275,9.538625,9.290375,9.9426875,11.958825000000001,5.44775,14.9707,6.813116865530303,6.955085,6.816245,7.0540275,7.2586925,4.98019,7.6921
tcp,same_socket_diff_numa,3456,10.07949052372685,9.994375,9.704125,10.348925,11.114625,5.785,13.6775,6.471488535879629,6.58836,6.3317725,6.737985,6.8524225,4.39179,7.29
tcp,cross_socket,4608,21.386964084201388,21.8465,21.472225,22.145125,22.607125,13.5775,40.0027,2.310812024739583,2.244615,2.212715,2.2797225,2.912881,1.8132,3.87288
tcp,cross_node,9216,27.670089029947917,24.75065,22.03415,29.90735,50.464775,14.1047,236.829,1.965690241970486,1.85283,1.6607725,2.1487825,2.89461,1.25413,4.34807
