rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",4096,"latency","H2D",50,0,15.289,15.7445,16.027,16.1945,0.45,34.563,16.4522,2.6458,0.110369,0.235555,0.238017,0.242288,0.0067325,0.249506,0.234918,0.0193405,0.255569,8.384
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",4096,"latency","D2H",50,0,14.902,15.5305,15.81,16.2,0.6695,17.208,15.8748,0.529812,0.221682,0.235475,0.241285,0.245626,0.010151,0.255986,0.240563,0.00792646,0.259077,8.256
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",16777216,"bandwidth","H2D",50,0,822.651,836.119,838.596,841.771,5.652,848.684,838.656,4.86704,18.4109,18.5621,18.6323,18.6875,0.125476,18.9935,18.6316,0.108564,20.0063,830.8
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",16777216,"bandwidth","D2H",50,0,1721.06,1727.73,1732.39,1737.85,10.1202,1752,1734.25,8.20441,8.91839,8.99098,9.01932,9.04364,0.0526646,9.07873,9.00985,0.0424742,9.68442,1724.22
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","H2D",50,0,3254.9,3274.85,3287.3,3299.98,25.123,3324.61,3287.48,15.5346,18.7992,18.9395,19.0126,19.0848,0.145295,19.2018,19.012,0.0898201,20.4146,3279.33
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","D2H",50,0,6139.57,6151.68,6155.13,6167.47,15.7845,6187.34,6158.88,11.0334,10.1013,10.1338,10.1541,10.1598,0.0260022,10.1799,10.148,0.0181678,10.9029,6146.7
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",268435456,"bandwidth","H2D",50,0,12178.2,12467,13129.4,13426.8,959.772,13483.2,12918.8,486.437,18.5416,18.6195,19.0418,20.0529,1.43342,20.5285,19.3792,0.732868,20.4459,13122.7
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,2,0000:9d:00.0,4,"OK",268435456,"bandwidth","D2H",50,0,22000.6,24600.8,25016.7,26593.1,1992.27,27788.6,25269.9,1687.37,8.99649,9.40095,9.99338,10.1623,0.761337,11.3633,9.93809,0.674503,10.7303,25008.9
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",4096,"latency","H2D",50,0,14.15,14.6863,14.868,14.9865,0.30025,17.608,14.8903,0.491169,0.216646,0.254542,0.256571,0.259746,0.00520412,0.26959,0.25644,0.00772873,0.275491,7.968
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",4096,"latency","D2H",50,0,14.116,14.5465,14.8325,15.0363,0.48975,20.2,15.0369,1.09465,0.188846,0.2537,0.257186,0.262242,0.00854163,0.270239,0.254762,0.0148206,0.276151,7.888
