rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22",134.61.45.208,ib0,64,4194304,10,50,100.28,6.077,9.64567,9.631,12.1805,7.27051,7.00768
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23",134.61.45.208,ib0,64,4194304,10,50,84.929,7.5985,9.27597,9.2445,12.803,7.24901,7.07603
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24",134.61.45.208,ib0,64,4194304,10,50,84.169,8.231,9.61482,9.47025,13.5435,7.12277,7.06617
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25",134.61.45.208,ib0,64,4194304,10,50,87.146,7.6615,9.6454,9.49425,13.176,7.10956,7.06365
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26",134.61.45.208,ib0,64,4194304,10,50,93.361,7.7715,9.70953,9.5485,14.251,7.08997,7.03826
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27",134.61.45.208,ib0,64,4194304,10,50,89.036,7.811,9.65555,9.51375,13.7745,7.01375,6.96562
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28",134.61.45.208,ib0,64,4194304,10,50,92.22,7.7525,9.43575,9.42,11.4625,7.0796,7.03532
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29",134.61.45.208,ib0,64,4194304,10,50,95.638,7.722,9.63465,9.53475,12.986,7.07119,7.01628
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30",134.61.45.208,ib0,64,4194304,10,50,90.823,7.8895,9.54297,9.47875,12.709,6.46405,6.5187
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31",134.61.45.208,ib0,64,4194304,10,50,106.367,8.2605,10.0961,9.9605,14.433,6.33972,6.33499
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32",134.61.45.208,ib0,64,4194304,10,50,115.727,8.2045,9.88414,9.8985,12.9205,6.61574,6.60251
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33",134.61.45.208,ib0,64,4194304,10,50,117.788,7.9915,9.70151,9.64025,12.492,6.62459,6.6232
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34",134.61.45.208,ib0,64,4194304,10,50,102.527,8.063,9.83528,9.812,11.3345,6.69596,6.70771
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35",134.61.45.208,ib0,64,4194304,10,50,114.451,7.908,9.70143,9.69,11.712,6.6707,6.67802
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36",134.61.45.208,ib0,64,4194304,10,50,95.555,8.0985,9.88749,9.8255,14.082,6.48192,6.49292
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37",134.61.45.208,ib0,64,4194304,10,50,107.884,8.1535,9.90287,9.91675,11.8975,6.42609,6.4215
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38",134.61.45.208,ib0,64,4194304,10,50,112.526,8.158,10.038,9.9835,14.407,6.40658,6.38333
