pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,16622.5,17329.6,17736.8,31988.1,18195.9,154123,166299
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,17321.3,17933.4,18313.1,25742.9,18689.6,28273.7,164318
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,17987.6,18616.5,19098.9,19189.9,19389.5,20823.2,21997.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,18659,19403.3,19800.6,26562,20246.6,29208.1,152442
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,19386.6,19967,20317.3,27538.9,20754.6,30411.1,161872
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,20252.7,20744.8,21367.7,42515.9,22780.5,160814,171369
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,20713,21309.6,21641.7,29282.9,22118.7,31281.5,172002
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,21394.7,21996.2,22479.3,36289.3,22992.4,157256,163349
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,22043.8,22627.5,23071.4,30399,23678,32912.3,165436
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,22687.7,23274,23969.6,37535.7,24839.4,152146,167326
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,23340.4,23935.2,24359.8,46323.9,26459.5,170182,174173
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,23996.5,24695.7,25456.7,37959.5,26299.3,145277,155526
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,24698.9,25339.4,25870.5,40294.1,26848,155271,182925
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,25389.5,26008.5,26428.3,26767.8,27137.7,29122,29934.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,26109.8,26690.1,27287.2,34652.3,28062.9,37719.7,170081
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,26753.3,27407.6,27984,40408.2,28859.1,144801,157616
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,27412.7,28067.2,29036.4,42368.4,30101.1,162338,163169
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,28081.2,28853,29380,51278.6,30328.7,168455,194210
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,28743,29460.6,29883.3,30411.6,30905,33154.9,34196.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,29411.2,30238.6,30829.3,37522.2,31739.6,41174.7,158037
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,30071.8,30921.5,31527.6,38135.3,32440.2,41907.3,156514
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,30698.8,31584.5,31990.5,65159.8,66979,164557,169842
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,31405.3,32275.6,32697.8,33301.3,33783,36407.3,37588.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,32523,33517.5,35441.9,77212.1,149999,161753,167978
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47","134.61.45.208","same_socket_diff_numa","ib0",4194304,20,32775,33686,34447.2,41603.1,35436.5,45809.4,170430
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48","134.61.45.208","cross_socket","ib0",4194304,20,33619.3,34617.2,35270.3,58750.9,36390.2,186503,205222
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49","134.61.45.208","cross_socket","ib0",4194304,20,34506.9,35594.8,37081.4,56551.7,39402.7,165877,184016
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50","134.61.45.208","cross_socket","ib0",4194304,20,35376.3,36501.7,37132,52230.3,39362.9,179885,185342
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",51,"n23m0123.hpc.itc.rwth-aachen.de",51,"51","134.61.45.208","cross_socket","ib0",4194304,20,36273.4,37396.7,38018.7,44769.5,39837.4,50433.6,158875
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",52,"n23m0123.hpc.itc.rwth-aachen.de",52,"52","134.61.45.208","cross_socket","ib0",4194304,20,37576,38399.3,39470,70629.9,73121.4,168756,179544
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",53,"n23m0123.hpc.itc.rwth-aachen.de",53,"53","134.61.45.208","cross_socket","ib0",4194304,20,38008.3,39485.5,40819.2,77732,147836,177643,191573
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",54,"n23m0123.hpc.itc.rwth-aachen.de",54,"54","134.61.45.208","cross_socket","ib0",4194304,20,38869.4,40325.2,42768,86773.2,161826,185318,188550
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55","134.61.45.208","cross_socket","ib0",4194304,20,39720.9,41498.7,43953.5,87185.6,155300,186848,190612
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56","134.61.45.208","cross_socket","ib0",4194304,20,40577.5,42685.7,43730.3,75664.5,75793.1,183223,186228
