pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",23,"n23m0223.hpc.itc.rwth-aachen.de",23,"23","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,15636.7,16501.3,16805.4,16962.6,17318.9,18611.6,18621.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",24,"n23m0223.hpc.itc.rwth-aachen.de",24,"24","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,16324.1,17175.5,17692,30358,18415,140173,149344
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",25,"n23m0223.hpc.itc.rwth-aachen.de",25,"25","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,16986.9,17919.5,18367.8,44150.4,20108,151450,156748
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",26,"n23m0223.hpc.itc.rwth-aachen.de",26,"26","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,15636.9,18568.8,18941.5,18936,19289.6,20839.8,20856.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",27,"n23m0223.hpc.itc.rwth-aachen.de",27,"27","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,18263.5,19358.1,19671.9,26010.4,20190.2,27792,144598
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",28,"n23m0223.hpc.itc.rwth-aachen.de",28,"28","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,18952.5,20007,20388.1,33383.8,21292.3,144935,154990
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",29,"n23m0223.hpc.itc.rwth-aachen.de",29,"29","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,19616.5,20539.5,20928.1,33969.5,21965.7,141104,160727
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",30,"n23m0223.hpc.itc.rwth-aachen.de",30,"30","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,20604.8,21422.2,21725.4,27726.7,22230.8,29755.6,138652
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",31,"n23m0223.hpc.itc.rwth-aachen.de",31,"31","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,21179.1,21986.5,22324.8,36365.3,22905,150464,174262
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",32,"n23m0223.hpc.itc.rwth-aachen.de",32,"32","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,21922,22742.2,23055.6,36195.7,24041.6,150526,155058
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",33,"n23m0223.hpc.itc.rwth-aachen.de",33,"33","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,19891.1,23300.3,23569.9,30002.6,24148.9,32503,149951
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",34,"n23m0223.hpc.itc.rwth-aachen.de",34,"34","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,23298.6,24170.9,24609.8,49949.1,26990.3,153489,160969
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",35,"n23m0223.hpc.itc.rwth-aachen.de",35,"35","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,24112.2,24708.6,25075.9,44233.1,26870.2,152096,158967
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",36,"n23m0223.hpc.itc.rwth-aachen.de",36,"36","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,24606.2,25424.3,25681,38768.4,26416.8,151399,157741
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",37,"n23m0223.hpc.itc.rwth-aachen.de",37,"37","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,25224,25964.1,26349.9,32709.9,27008.3,35359.1,148545
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",38,"n23m0223.hpc.itc.rwth-aachen.de",38,"38","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,23642,26750,27036.6,33412.7,27480.8,36328.3,153145
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",39,"n23m0223.hpc.itc.rwth-aachen.de",39,"39","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,26711.7,27561.1,27819.5,41786.9,28441.5,157320,174199
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",40,"n23m0223.hpc.itc.rwth-aachen.de",40,"40","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,27412.3,28193,28485.4,48144.3,29904.9,154732,172713
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",41,"n23m0223.hpc.itc.rwth-aachen.de",41,"41","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,28166,28986.4,29277.7,41764.8,30655.9,143039,160403
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",42,"n23m0223.hpc.itc.rwth-aachen.de",42,"42","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,26445,29710.4,30005.3,36199.7,30567,39216.9,150225
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",43,"n23m0223.hpc.itc.rwth-aachen.de",43,"43","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,29514,30374.4,30861.3,43430.8,32132.7,152949,156937
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",44,"n23m0223.hpc.itc.rwth-aachen.de",44,"44","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,30218.1,30979.6,31397.4,31738.3,31797.2,34964,34989.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",45,"n23m0223.hpc.itc.rwth-aachen.de",45,"45","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,30934.3,31680.5,32213.3,43449.6,33615.2,140429,144317
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",46,"n23m0223.hpc.itc.rwth-aachen.de",46,"46","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,29271.3,32493.5,32941.5,50085,34770.6,147765,153622
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",47,"n23m0223.hpc.itc.rwth-aachen.de",47,"47","134.61.46.53","same_socket_diff_numa","ib0",4194304,20,32998.7,33243.4,33825,57896.1,37360.6,152058,169559
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",48,"n23m0223.hpc.itc.rwth-aachen.de",48,"48","134.61.46.53","cross_socket","ib0",4194304,20,32539.7,34023.9,34497,56533.2,36098.2,174427,196543
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",49,"n23m0223.hpc.itc.rwth-aachen.de",49,"49","134.61.46.53","cross_socket","ib0",4194304,20,34208.5,34945.4,35430.7,49808.2,36079.2,165266,190869
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",50,"n23m0223.hpc.itc.rwth-aachen.de",50,"50","134.61.46.53","cross_socket","ib0",4194304,20,32919.4,35847.8,36353.8,36647.9,36756.9,40557.1,40565.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",51,"n23m0223.hpc.itc.rwth-aachen.de",51,"51","134.61.46.53","cross_socket","ib0",4194304,20,36002.8,36753.3,37276.2,50354.1,38172.1,147454,186430
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",52,"n23m0223.hpc.itc.rwth-aachen.de",52,"52","134.61.46.53","cross_socket","ib0",4194304,20,37022.8,38078.2,38715.6,80274.3,146711,172842,184245
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",53,"n23m0223.hpc.itc.rwth-aachen.de",53,"53","134.61.46.53","cross_socket","ib0",4194304,20,37888.8,38614,38944.7,51819.9,39452.4,161323,168085
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",54,"n23m0223.hpc.itc.rwth-aachen.de",54,"54","134.61.46.53","cross_socket","ib0",4194304,20,36712.9,39499.6,40358.3,64166.5,44448.7,157717,181176
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",55,"n23m0223.hpc.itc.rwth-aachen.de",55,"55","134.61.46.53","cross_socket","ib0",4194304,20,39634.1,40472.7,41191.1,71973.7,69562.2,170090,177377
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",56,"n23m0223.hpc.itc.rwth-aachen.de",56,"56","134.61.46.53","cross_socket","ib0",4194304,20,40520.6,41443,42266.5,67017.3,46338.7,176234,179996
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",57,"n23m0223.hpc.itc.rwth-aachen.de",57,"57","134.61.46.53","cross_socket","ib0",4194304,20,41609.8,42607.3,43487,56497.6,44170.3,170706,176343
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",58,"n23m0223.hpc.itc.rwth-aachen.de",58,"58","134.61.46.53","cross_socket","ib0",4194304,20,40562.9,44269.7,45862.5,86229.3,143295,180691,181206
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",59,"n23m0223.hpc.itc.rwth-aachen.de",59,"59","134.61.46.53","cross_socket","ib0",4194304,20,43468.9,44781.3,45481.1,72068.3,70727,161068,186637
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",60,"n23m0223.hpc.itc.rwth-aachen.de",60,"60","134.61.46.53","cross_socket","ib0",4194304,20,44483.3,45628.5,46366,67971.1,50133.3,156470,159642
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",61,"n23m0223.hpc.itc.rwth-aachen.de",61,"61","134.61.46.53","cross_socket","ib0",4194304,20,45472.2,46264.8,47349.2,78666.2,140504,160672,161140
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",62,"n23m0223.hpc.itc.rwth-aachen.de",62,"62","134.61.46.53","cross_socket","ib0",4194304,20,43976.4,47097.4,47801.5,62773,49318.5,147510,152431
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",63,"n23m0223.hpc.itc.rwth-aachen.de",63,"63","134.61.46.53","cross_socket","ib0",4194304,20,46921.2,47553.4,48635.7,64647.9,51548.3,145151,177070
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",64,"n23m0223.hpc.itc.rwth-aachen.de",64,"64","134.61.46.53","cross_socket","ib0",4194304,20,47880.9,49042.6,49673.8,66413.9,52421.8,156119,169695
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",65,"n23m0223.hpc.itc.rwth-aachen.de",65,"65","134.61.46.53","cross_socket","ib0",4194304,20,48715.4,49490.3,50243.8,71290.7,53323.8,168638,174190
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",66,"n23m0223.hpc.itc.rwth-aachen.de",66,"66","134.61.46.53","cross_socket","ib0",4194304,20,47780,50099.4,51087.9,62873.5,51917.1,160733,176994
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",67,"n23m0223.hpc.itc.rwth-aachen.de",67,"67","134.61.46.53","cross_socket","ib0",4194304,20,50377.4,51191.5,51949.6,72814.6,56731.2,156063,176382
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",68,"n23m0223.hpc.itc.rwth-aachen.de",68,"68","134.61.46.53","cross_socket","ib0",4194304,20,51367.6,52050.1,52771.9,66559.4,55985.3,141137,145751
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",69,"n23m0223.hpc.itc.rwth-aachen.de",69,"69","134.61.46.53","cross_socket","ib0",4194304,20,52048.2,52916.4,53576.4,64187.4,55185.1,145206,167499
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",70,"n23m0223.hpc.itc.rwth-aachen.de",70,"70","134.61.46.53","cross_socket","ib0",4194304,20,52885.5,53989.2,54430.3,76272.4,57756,167978,172024
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",71,"n23m0223.hpc.itc.rwth-aachen.de",71,"71","134.61.46.53","cross_socket","ib0",4194304,20,53711.8,54584.5,55202.1,72484.1,56933.5,170999,174294
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",72,"n23m0223.hpc.itc.rwth-aachen.de",72,"72","134.61.46.53","cross_socket","ib0",4194304,20,54515.5,55366,56013.9,65746.8,57791.9,138573,159787
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",73,"n23m0223.hpc.itc.rwth-aachen.de",73,"73","134.61.46.53","cross_socket","ib0",4194304,20,55325.9,55966.2,56822.3,73506.2,58499.4,169615,170929
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",74,"n23m0223.hpc.itc.rwth-aachen.de",74,"74","134.61.46.53","cross_socket","ib0",4194304,20,54383.5,56790.4,57741,67643.1,59508.6,146132,161061
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",75,"n23m0223.hpc.itc.rwth-aachen.de",75,"75","134.61.46.53","cross_socket","ib0",4194304,20,53095,57624.7,58427.8,64597.6,59124.9,69524.3,181583
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",76,"n23m0223.hpc.itc.rwth-aachen.de",76,"76","134.61.46.53","cross_socket","ib0",4194304,20,57753.2,58692.3,59359.5,74595.8,62964,155845,162923
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",77,"n23m0223.hpc.itc.rwth-aachen.de",77,"77","134.61.46.53","cross_socket","ib0",4194304,20,58577.4,59281.5,60021.7,60606.8,60416.1,65553.8,67427.6
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",78,"n23m0223.hpc.itc.rwth-aachen.de",78,"78","134.61.46.53","cross_socket","ib0",4194304,20,57646.4,60789.2,63072,94256.5,142277,169379,177554
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",79,"n23m0223.hpc.itc.rwth-aachen.de",79,"79","134.61.46.53","cross_socket","ib0",4194304,20,60216.8,61139.4,61818.5,71777.9,63728,140615,172545
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",80,"n23m0223.hpc.itc.rwth-aachen.de",80,"80","134.61.46.53","cross_socket","ib0",4194304,20,61015.4,61775.9,62684.1,83267.6,68658,165290,169742
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",81,"n23m0223.hpc.itc.rwth-aachen.de",81,"81","134.61.46.53","cross_socket","ib0",4194304,20,61807.4,62619.4,63382.5,73771.2,64699.7,162456,167759
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",82,"n23m0223.hpc.itc.rwth-aachen.de",82,"82","134.61.46.53","cross_socket","ib0",4194304,20,60901.3,63452.2,64161.2,73306.5,65544.2,143105,164481
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",83,"n23m0223.hpc.itc.rwth-aachen.de",83,"83","134.61.46.53","cross_socket","ib0",4194304,20,63414.4,64420,65039.8,71158.5,66362.5,77893.3,173915
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",84,"n23m0223.hpc.itc.rwth-aachen.de",84,"84","134.61.46.53","cross_socket","ib0",4194304,20,64241.9,65756.6,67357,94920.2,145057,165368,169869
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",85,"n23m0223.hpc.itc.rwth-aachen.de",85,"85","134.61.46.53","cross_socket","ib0",4194304,20,65043.2,66076.1,66700.4,76413.7,67998.7,141514,176871
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",86,"n23m0223.hpc.itc.rwth-aachen.de",86,"86","134.61.46.53","cross_socket","ib0",4194304,20,64211.7,66813.7,67626.2,86525.8,70411.6,168008,182361
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",87,"n23m0223.hpc.itc.rwth-aachen.de",87,"87","134.61.46.53","cross_socket","ib0",4194304,20,66668.2,67628.2,68521.9,83181.9,72589.7,162819,164815
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",88,"n23m0223.hpc.itc.rwth-aachen.de",88,"88","134.61.46.53","cross_socket","ib0",4194304,20,67632.3,68606.7,69194.2,73441.3,70050.9,80555,140092
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",89,"n23m0223.hpc.itc.rwth-aachen.de",89,"89","134.61.46.53","cross_socket","ib0",4194304,20,68288.3,69437,69995.9,82612.3,74319.5,145776,163197
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",90,"n23m0223.hpc.itc.rwth-aachen.de",90,"90","134.61.46.53","cross_socket","ib0",4194304,20,69096,70262.8,70930.1,91059,94883.9,156698,160815
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",91,"n23m0223.hpc.itc.rwth-aachen.de",91,"91","134.61.46.53","cross_socket","ib0",4194304,20,69901.7,71112.9,71619.7,76868.5,73144.4,84223.6,161000
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",92,"n23m0223.hpc.itc.rwth-aachen.de",92,"92","134.61.46.53","cross_socket","ib0",4194304,20,70702.8,72049.8,72651.8,85093.6,76910.3,150029,164100
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",93,"n23m0223.hpc.itc.rwth-aachen.de",93,"93","134.61.46.53","cross_socket","ib0",4194304,20,71508.6,72504.6,73274.8,82722.2,75683.8,155349,167077
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",94,"n23m0223.hpc.itc.rwth-aachen.de",94,"94","134.61.46.53","cross_socket","ib0",4194304,20,70667.7,73311.3,74186.8,79745.5,76223.9,87355.4,171113
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",95,"n23m0223.hpc.itc.rwth-aachen.de",95,"95","134.61.46.53","cross_socket","ib0",4194304,20,73159.4,74133.8,74866.8,88711,76877.4,164608,172947
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",96,"n23m0236.hpc.itc.rwth-aachen.de",0,"0","134.61.46.66","cross_node","ib0",4194304,20,74817.5,78395,153463,130583,172100,177668,179584
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",97,"n23m0236.hpc.itc.rwth-aachen.de",1,"1","134.61.46.66","cross_node","ib0",4194304,20,75835.6,78687.3,113628,123652,169259,183172,183514
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",98,"n23m0236.hpc.itc.rwth-aachen.de",2,"2","134.61.46.66","cross_node","ib0",4194304,20,165098,177537,179887,179802,183629,186437,191886
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",99,"n23m0236.hpc.itc.rwth-aachen.de",3,"3","134.61.46.66","cross_node","ib0",4194304,20,170263,198148,202325,200832,204726,210706,210911
