transport,locality_tier,pair_count,lat_mean_us,lat_median_us,lat_p25_us,lat_p75_us,lat_p95_us,lat_min_us,lat_max_us,bw_mean_gibs,bw_median_gibs,bw_p25_gibs,bw_p75_gibs,bw_p95_gibs,bw_min_gibs,bw_max_gibs
uds,same_numa,528,28.933196022727273,27.75125,26.203875,30.3265,37.239799999999995,22.6665,41.3665,4.630369469696969,4.71103,4.211855,5.15521,5.632328499999999,2.92541,6.18013
uds,same_socket_diff_numa,1728,25.871515335648148,24.5165,23.057625,28.40475,32.496075,20.7195,34.274,4.4198201388888885,4.540915,3.970155,5.0725375,5.495486,2.71003,5.80653
uds,cross_socket,2304,49.75875303819444,51.66,49.460499999999996,52.87675,54.395825,33.4665,59.441,1.6021996744791667,1.521515,1.5057325000000001,1.5467325,2.044636,1.3872,2.52275
