rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",0,0000:1b:00.0,"OK",4096,16777216,20,10.879,11.1355,11.1673,10.968,11.39,11.8134,18.5968,15.4819
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",1,0000:2c:00.0,"OK",4096,16777216,20,11.063,11.602,11.5958,11.397,11.773,12.3037,12.5599,10.8357
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",2,0000:9d:00.0,"OK",4096,16777216,20,12.149,12.4685,12.6191,11.946,12.6635,13.4047,18.7445,9.64728
7,"n23g0012.hpc.itc.rwth-aachen.de",7,"7",3,0000:ad:00.0,"OK",4096,16777216,20,12.427,12.703,12.8121,12.416,13.0335,14.1033,18.4705,8.70083
8,"n23g0012.hpc.itc.rwth-aachen.de",8,"8",0,0000:1b:00.0,"OK",4096,16777216,20,10.64,11.17,11.2567,10.929,11.5345,12.0867,18.5938,15.4598
8,"n23g0012.hpc.itc.rwth-aachen.de",8,"8",1,0000:2c:00.0,"OK",4096,16777216,20,11.042,11.558,12.305,11.01,11.6615,11.6231,12.5723,10.8059
8,"n23g0012.hpc.itc.rwth-aachen.de",8,"8",2,0000:9d:00.0,"OK",4096,16777216,20,11.669,12.448,12.375,12.18,12.6575,12.6637,18.6418,8.71958
8,"n23g0012.hpc.itc.rwth-aachen.de",8,"8",3,0000:ad:00.0,"OK",4096,16777216,20,12.189,12.5775,12.5908,12.166,12.8,12.7708,18.429,9.65703
9,"n23g0012.hpc.itc.rwth-aachen.de",9,"9",0,0000:1b:00.0,"OK",4096,16777216,20,10.852,11.253,11.313,11.023,11.536,11.4777,18.5572,15.5688
9,"n23g0012.hpc.itc.rwth-aachen.de",9,"9",1,0000:2c:00.0,"OK",4096,16777216,20,10.888,11.6485,11.5694,11.069,11.7175,11.7274,12.5531,10.8375
