rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
35,"n23g0012.hpc.itc.rwth-aachen.de",35,"35",1,0000:2c:00.0,"OK",4096,16777216,20,11.335,11.701,11.7286,11.503,11.866,11.9009,19.1473,16.3794
35,"n23g0012.hpc.itc.rwth-aachen.de",35,"35",2,0000:9d:00.0,"OK",4096,16777216,20,12.238,12.751,12.8187,12.263,12.795,13.4137,18.8913,8.64526
35,"n23g0012.hpc.itc.rwth-aachen.de",35,"35",3,0000:ad:00.0,"OK",4096,16777216,20,12.343,13.065,13.0511,12.702,13.061,13.5308,19.0655,8.70745
36,"n23g0012.hpc.itc.rwth-aachen.de",36,"36",0,0000:1b:00.0,"OK",4096,16777216,20,11.251,11.8465,11.7387,11.366,11.785,11.7609,10.7644,13.7395
36,"n23g0012.hpc.itc.rwth-aachen.de",36,"36",1,0000:2c:00.0,"OK",4096,16777216,20,10.956,11.67,12.0838,11.19,11.6655,11.6605,15.0694,15.2777
36,"n23g0012.hpc.itc.rwth-aachen.de",36,"36",2,0000:9d:00.0,"OK",4096,16777216,20,12.07,12.8385,13.3293,12.31,12.775,12.809,19.0742,9.38603
36,"n23g0012.hpc.itc.rwth-aachen.de",36,"36",3,0000:ad:00.0,"OK",4096,16777216,20,12.534,12.928,13.0241,12.305,12.8355,12.8324,19.1259,8.84983
37,"n23g0012.hpc.itc.rwth-aachen.de",37,"37",0,0000:1b:00.0,"OK",4096,16777216,20,11.218,11.6935,11.6934,11.11,11.643,11.6443,10.7933,13.7613
37,"n23g0012.hpc.itc.rwth-aachen.de",37,"37",1,0000:2c:00.0,"OK",4096,16777216,20,10.961,11.754,11.7375,11.402,11.7855,11.7826,15.1035,15.0184
37,"n23g0012.hpc.itc.rwth-aachen.de",37,"37",2,0000:9d:00.0,"OK",4096,16777216,20,12.183,12.676,12.717,12.413,12.946,13.7656,19.2918,9.49502
37,"n23g0012.hpc.itc.rwth-aachen.de",37,"37",3,0000:ad:00.0,"OK",4096,16777216,20,12.468,12.96,13.021,12.446,13.0585,13.0697,19.2305,9.08944
38,"n23g0012.hpc.itc.rwth-aachen.de",38,"38",0,0000:1b:00.0,"OK",4096,16777216,20,11.13,11.7255,11.7605,11.267,11.834,11.7626,10.7966,13.7623
38,"n23g0012.hpc.itc.rwth-aachen.de",38,"38",1,0000:2c:00.0,"OK",4096,16777216,20,11.257,11.909,11.8518,11.389,11.8415,12.3212,15.098,14.7844
38,"n23g0012.hpc.itc.rwth-aachen.de",38,"38",2,0000:9d:00.0,"OK",4096,16777216,20,12.182,12.786,12.8363,12.092,12.6765,13.4322,19.1944,8.63706
38,"n23g0012.hpc.itc.rwth-aachen.de",38,"38",3,0000:ad:00.0,"OK",4096,16777216,20,12.734,13.176,13.8866,12.574,12.929,12.9122,18.9933,9.37657
39,"n23g0012.hpc.itc.rwth-aachen.de",39,"39",0,0000:1b:00.0,"OK",4096,16777216,20,11.162,11.737,12.2439,11.207,11.553,11.5579,10.7875,13.7555
39,"n23g0012.hpc.itc.rwth-aachen.de",39,"39",1,0000:2c:00.0,"OK",4096,16777216,20,11.026,11.673,11.6114,11.176,11.713,11.6828,15.1057,14.7866
39,"n23g0012.hpc.itc.rwth-aachen.de",39,"39",2,0000:9d:00.0,"OK",4096,16777216,20,12.126,12.828,12.7698,12.429,12.8425,12.8356,18.8397,8.81599
39,"n23g0012.hpc.itc.rwth-aachen.de",39,"39",3,0000:ad:00.0,"OK",4096,16777216,20,11.993,12.808,12.7376,12.499,12.8455,13.3712,18.6607,8.74945
40,"n23g0012.hpc.itc.rwth-aachen.de",40,"40",0,0000:1b:00.0,"OK",4096,16777216,20,11.382,11.8935,12.2816,11.314,11.722,11.7464,10.7814,13.7585
40,"n23g0012.hpc.itc.rwth-aachen.de",40,"40",1,0000:2c:00.0,"OK",4096,16777216,20,11.599,11.875,12.7469,11.293,11.8135,11.8399,15.1257,14.8183
40,"n23g0012.hpc.itc.rwth-aachen.de",40,"40",2,0000:9d:00.0,"OK",4096,16777216,20,12.28,12.941,12.9776,12.325,12.825,12.85,19.0035,9.29671
40,"n23g0012.hpc.itc.rwth-aachen.de",40,"40",3,0000:ad:00.0,"OK",4096,16777216,20,12.807,13.025,13.0778,12.596,13.157,13.2727,18.8053,9.52147
41,"n23g0012.hpc.itc.rwth-aachen.de",41,"41",0,0000:1b:00.0,"OK",4096,16777216,20,11.367,11.706,11.7979,11.184,11.7845,11.7523,10.7841,13.794
41,"n23g0012.hpc.itc.rwth-aachen.de",41,"41",1,0000:2c:00.0,"OK",4096,16777216,20,11.195,11.9195,11.8615,11.306,11.801,12.9055,15.1031,14.7574
41,"n23g0012.hpc.itc.rwth-aachen.de",41,"41",2,0000:9d:00.0,"OK",4096,16777216,20,12.349,12.919,12.9283,12.667,13.113,13.2565,18.9807,9.48459
41,"n23g0012.hpc.itc.rwth-aachen.de",41,"41",3,0000:ad:00.0,"OK",4096,16777216,20,12.526,13.0665,13.7995,12.679,13.1485,13.0905,18.8423,8.96538
42,"n23g0012.hpc.itc.rwth-aachen.de",42,"42",0,0000:1b:00.0,"OK",4096,16777216,20,11.371,11.8,11.8249,11.201,11.6395,11.6286,10.7987,13.7364
42,"n23g0012.hpc.itc.rwth-aachen.de",42,"42",1,0000:2c:00.0,"OK",4096,16777216,20,11.215,11.7015,11.7342,11.112,11.7195,11.6298,15.1033,14.7781
42,"n23g0012.hpc.itc.rwth-aachen.de",42,"42",2,0000:9d:00.0,"OK",4096,16777216,20,12.173,12.87,12.8773,12.446,12.837,13.1218,18.7392,9.47584
42,"n23g0012.hpc.itc.rwth-aachen.de",42,"42",3,0000:ad:00.0,"OK",4096,16777216,20,12.333,12.882,12.8523,12.574,13.129,13.6625,18.6171,9.14839
43,"n23g0012.hpc.itc.rwth-aachen.de",43,"43",0,0000:1b:00.0,"OK",4096,16777216,20,11.201,11.753,11.7767,11.191,11.7695,11.9894,10.7886,13.7674
43,"n23g0012.hpc.itc.rwth-aachen.de",43,"43",1,0000:2c:00.0,"OK",4096,16777216,20,11.339,11.863,11.7949,11.253,11.7925,11.7449,15.1041,14.8617
43,"n23g0012.hpc.itc.rwth-aachen.de",43,"43",2,0000:9d:00.0,"OK",4096,16777216,20,12.106,12.8105,13.3159,12.236,12.81,13.5122,19.1431,9.38016
43,"n23g0012.hpc.itc.rwth-aachen.de",43,"43",3,0000:ad:00.0,"OK",4096,16777216,20,12.401,12.951,12.9539,12.527,13.088,13.9408,18.8742,9.17834
44,"n23g0012.hpc.itc.rwth-aachen.de",44,"44",0,0000:1b:00.0,"OK",4096,16777216,20,11.398,11.865,11.8468,11.041,11.7145,11.6877,10.7865,13.7671
44,"n23g0012.hpc.itc.rwth-aachen.de",44,"44",1,0000:2c:00.0,"OK",4096,16777216,20,11.276,11.65,11.6993,11.267,11.6495,11.6492,15.0998,15.261
44,"n23g0012.hpc.itc.rwth-aachen.de",44,"44",2,0000:9d:00.0,"OK",4096,16777216,20,12.261,12.9435,14.7605,12.292,12.8115,12.8444,18.9974,9.42931
44,"n23g0012.hpc.itc.rwth-aachen.de",44,"44",3,0000:ad:00.0,"OK",4096,16777216,20,12.682,13.1285,13.1607,12.306,12.9305,12.8958,18.646,9.10426
45,"n23g0012.hpc.itc.rwth-aachen.de",45,"45",0,0000:1b:00.0,"OK",4096,16777216,20,11.067,11.7875,11.8406,11.46,11.6815,12.6534,10.7851,13.7513
45,"n23g0012.hpc.itc.rwth-aachen.de",45,"45",1,0000:2c:00.0,"OK",4096,16777216,20,11.158,11.7445,12.3954,11.088,11.573,11.627,15.1151,14.901
45,"n23g0012.hpc.itc.rwth-aachen.de",45,"45",2,0000:9d:00.0,"OK",4096,16777216,20,12.079,12.8005,12.7757,12.314,12.7455,12.8857,18.8053,9.58021
45,"n23g0012.hpc.itc.rwth-aachen.de",45,"45",3,0000:ad:00.0,"OK",4096,16777216,20,12.563,12.835,12.9259,12.563,12.9685,12.9479,19.0008,9.42729
46,"n23g0012.hpc.itc.rwth-aachen.de",46,"46",0,0000:1b:00.0,"OK",4096,16777216,20,11.373,11.86,11.875,11.212,11.7185,11.6855,10.7874,13.7656
46,"n23g0012.hpc.itc.rwth-aachen.de",46,"46",1,0000:2c:00.0,"OK",4096,16777216,20,11.082,11.786,11.7264,11.248,11.7345,11.7402,15.1123,16.0758
46,"n23g0012.hpc.itc.rwth-aachen.de",46,"46",2,0000:9d:00.0,"OK",4096,16777216,20,12.461,13.072,13.0568,12.157,12.628,12.6571,19.0219,9.55322
46,"n23g0012.hpc.itc.rwth-aachen.de",46,"46",3,0000:ad:00.0,"OK",4096,16777216,20,12.691,13.0455,13.7864,12.509,12.882,12.9501,19.0023,9.32814
47,"n23g0012.hpc.itc.rwth-aachen.de",47,"47",0,0000:1b:00.0,"OK",4096,16777216,20,11.28,11.969,11.9197,11.173,11.7905,12.2697,10.7873,13.7674
47,"n23g0012.hpc.itc.rwth-aachen.de",47,"47",1,0000:2c:00.0,"OK",4096,16777216,20,11.126,11.644,11.6432,11.235,11.6975,12.1531,15.1108,14.7182
47,"n23g0012.hpc.itc.rwth-aachen.de",47,"47",2,0000:9d:00.0,"OK",4096,16777216,20,12.137,12.721,12.7328,12.456,12.9815,12.9705,19.0028,9.38652
47,"n23g0012.hpc.itc.rwth-aachen.de",47,"47",3,0000:ad:00.0,"OK",4096,16777216,20,12.579,13.087,13.3503,12.535,13.1635,13.1752,18.6446,9.54973
48,"n23g0012.hpc.itc.rwth-aachen.de",48,"48",0,0000:1b:00.0,"OK",4096,16777216,20,11.731,12.151,12.2093,12.388,12.9145,12.905,19.316,9.52451
48,"n23g0012.hpc.itc.rwth-aachen.de",48,"48",1,0000:2c:00.0,"OK",4096,16777216,20,11.806,12.5185,13.4298,12.185,12.817,13.753,18.9853,9.18064
48,"n23g0012.hpc.itc.rwth-aachen.de",48,"48",2,0000:9d:00.0,"OK",4096,16777216,20,10.56,11.212,12.0571,10.45,11.337,12.9163,18.6017,15.9146
48,"n23g0012.hpc.itc.rwth-aachen.de",48,"48",3,0000:ad:00.0,"OK",4096,16777216,20,11.253,11.6595,11.7681,11.12,11.4735,11.9989,12.5403,11.6814
49,"n23g0012.hpc.itc.rwth-aachen.de",49,"49",0,0000:1b:00.0,"OK",4096,16777216,20,11.911,12.5735,12.4842,12.147,12.6655,12.8608,18.9984,9.29486
49,"n23g0012.hpc.itc.rwth-aachen.de",49,"49",1,0000:2c:00.0,"OK",4096,16777216,20,12.228,12.685,12.7667,12.392,12.953,12.9834,19.1377,9.2459
49,"n23g0012.hpc.itc.rwth-aachen.de",49,"49",2,0000:9d:00.0,"OK",4096,16777216,20,10.841,11.163,11.195,10.891,11.3775,11.4158,18.5925,15.6836
49,"n23g0012.hpc.itc.rwth-aachen.de",49,"49",3,0000:ad:00.0,"OK",4096,16777216,20,11.084,11.5895,11.6477,11.216,11.7685,11.7649,12.4744,11.6943
50,"n23g0012.hpc.itc.rwth-aachen.de",50,"50",0,0000:1b:00.0,"OK",4096,16777216,20,12.022,12.6135,12.6293,12.453,12.8855,13.4909,19.0782,9.29863
50,"n23g0012.hpc.itc.rwth-aachen.de",50,"50",1,0000:2c:00.0,"OK",4096,16777216,20,12.276,12.948,13.4967,12.463,12.9445,12.9404,18.8887,9.27997
50,"n23g0012.hpc.itc.rwth-aachen.de",50,"50",2,0000:9d:00.0,"OK",4096,16777216,20,10.689,11.2835,11.3404,10.923,11.4185,11.3726,18.607,15.8601
50,"n23g0012.hpc.itc.rwth-aachen.de",50,"50",3,0000:ad:00.0,"OK",4096,16777216,20,11.13,11.708,11.7684,11.327,11.836,12.2311,12.5469,11.7128
51,"n23g0012.hpc.itc.rwth-aachen.de",51,"51",0,0000:1b:00.0,"OK",4096,16777216,20,12.153,12.5795,12.6058,12.316,12.8015,12.774,18.6081,8.68173
51,"n23g0012.hpc.itc.rwth-aachen.de",51,"51",1,0000:2c:00.0,"OK",4096,16777216,20,12.276,12.68,13.0376,12.424,13.0055,12.9618,19.0169,9.67483
51,"n23g0012.hpc.itc.rwth-aachen.de",51,"51",2,0000:9d:00.0,"OK",4096,16777216,20,10.696,11.1115,11.2261,10.975,11.39,11.3723,18.6337,15.9797
51,"n23g0012.hpc.itc.rwth-aachen.de",51,"51",3,0000:ad:00.0,"OK",4096,16777216,20,11.289,11.7185,11.744,11.408,11.85,12.7561,12.5589,11.4865
52,"n23g0012.hpc.itc.rwth-aachen.de",52,"52",0,0000:1b:00.0,"OK",4096,16777216,20,12.265,12.474,12.8226,12.321,12.8885,12.9113,18.6236,9.57862
52,"n23g0012.hpc.itc.rwth-aachen.de",52,"52",1,0000:2c:00.0,"OK",4096,16777216,20,12.119,12.8545,13.2542,12.701,13.063,13.1029,18.6032,9.64105
52,"n23g0012.hpc.itc.rwth-aachen.de",52,"52",2,0000:9d:00.0,"OK",4096,16777216,20,10.574,11.246,11.2346,11.135,11.431,11.8627,18.6244,15.9051
52,"n23g0012.hpc.itc.rwth-aachen.de",52,"52",3,0000:ad:00.0,"OK",4096,16777216,20,11.047,11.6085,12.5072,11.185,11.741,11.8178,12.5367,11.7178
53,"n23g0012.hpc.itc.rwth-aachen.de",53,"53",0,0000:1b:00.0,"OK",4096,16777216,20,12.151,12.5465,12.5778,12.374,12.8195,13.2344,18.7212,9.63418
53,"n23g0012.hpc.itc.rwth-aachen.de",53,"53",1,0000:2c:00.0,"OK",4096,16777216,20,12.007,12.715,12.6977,12.44,12.8975,12.8988,18.5002,9.59221
53,"n23g0012.hpc.itc.rwth-aachen.de",53,"53",2,0000:9d:00.0,"OK",4096,16777216,20,10.681,11.3965,11.7625,11.167,11.507,11.5257,18.6191,15.978
53,"n23g0012.hpc.itc.rwth-aachen.de",53,"53",3,0000:ad:00.0,"OK",4096,16777216,20,11.456,11.828,11.8688,11.157,11.932,12.8039,12.5533,11.6453
54,"n23g0012.hpc.itc.rwth-aachen.de",54,"54",0,0000:1b:00.0,"OK",4096,16777216,20,12.292,12.697,12.7051,12.44,12.949,12.9312,18.6832,8.88698
54,"n23g0012.hpc.itc.rwth-aachen.de",54,"54",1,0000:2c:00.0,"OK",4096,16777216,20,12.398,12.871,12.9434,12.537,13.0925,13.0873,18.5345,9.5883
54,"n23g0012.hpc.itc.rwth-aachen.de",54,"54",2,0000:9d:00.0,"OK",4096,16777216,20,10.795,11.459,11.4327,10.994,11.417,11.4185,18.6519,16.0365
54,"n23g0012.hpc.itc.rwth-aachen.de",54,"54",3,0000:ad:00.0,"OK",4096,16777216,20,11.36,11.651,12.2567,11.21,11.7125,12.4596,12.5625,11.6665
55,"n23g0012.hpc.itc.rwth-aachen.de",55,"55",0,0000:1b:00.0,"OK",4096,16777216,20,12.258,12.707,13.0866,12.255,12.831,12.7607,18.7078,9.58962
55,"n23g0012.hpc.itc.rwth-aachen.de",55,"55",1,0000:2c:00.0,"OK",4096,16777216,20,12.18,12.7275,12.6991,12.742,13.0935,13.1355,18.6068,9.38858
55,"n23g0012.hpc.itc.rwth-aachen.de",55,"55",2,0000:9d:00.0,"OK",4096,16777216,20,10.871,11.3825,11.3487,11.121,11.388,11.4292,18.6223,15.9826
55,"n23g0012.hpc.itc.rwth-aachen.de",55,"55",3,0000:ad:00.0,"OK",4096,16777216,20,11.173,11.71,11.7134,11.38,11.7675,11.763,12.537,11.6491
56,"n23g0012.hpc.itc.rwth-aachen.de",56,"56",0,0000:1b:00.0,"OK",4096,16777216,20,12.085,12.646,13.7937,12.199,12.7265,12.7854,18.7046,9.27324
56,"n23g0012.hpc.itc.rwth-aachen.de",56,"56",1,0000:2c:00.0,"OK",4096,16777216,20,11.982,12.5065,12.4352,12.314,12.83,13.3231,18.6195,9.69391
56,"n23g0012.hpc.itc.rwth-aachen.de",56,"56",2,0000:9d:00.0,"OK",4096,16777216,20,10.493,11.1025,11.1745,10.959,11.252,11.6274,18.6488,15.9374
56,"n23g0012.hpc.itc.rwth-aachen.de",56,"56",3,0000:ad:00.0,"OK",4096,16777216,20,11.13,11.69,11.6707,11.464,11.763,11.7975,12.5592,11.6636
57,"n23g0012.hpc.itc.rwth-aachen.de",57,"57",0,0000:1b:00.0,"OK",4096,16777216,20,12.172,12.51,12.5699,12.057,12.6625,12.6558,18.7098,8.69586
57,"n23g0012.hpc.itc.rwth-aachen.de",57,"57",1,0000:2c:00.0,"OK",4096,16777216,20,12.332,12.7215,12.7676,12.426,12.773,13.4664,18.7438,9.60419
57,"n23g0012.hpc.itc.rwth-aachen.de",57,"57",2,0000:9d:00.0,"OK",4096,16777216,20,10.603,11.1695,11.2237,10.739,11.2035,11.2414,18.6112,16.0506
57,"n23g0012.hpc.itc.rwth-aachen.de",57,"57",3,0000:ad:00.0,"OK",4096,16777216,20,11.238,11.715,11.7564,11.081,11.6525,11.6403,12.5606,11.7309
58,"n23g0012.hpc.itc.rwth-aachen.de",58,"58",0,0000:1b:00.0,"OK",4096,16777216,20,11.931,12.6515,12.6727,12.095,12.5845,12.5852,18.7257,8.89057
58,"n23g0012.hpc.itc.rwth-aachen.de",58,"58",1,0000:2c:00.0,"OK",4096,16777216,20,12.318,12.73,14.3211,12.315,12.8825,12.8572,18.5081,8.71593
58,"n23g0012.hpc.itc.rwth-aachen.de",58,"58",2,0000:9d:00.0,"OK",4096,16777216,20,10.735,11.1925,11.1946,10.732,11.353,11.3716,18.6242,16.0245
58,"n23g0012.hpc.itc.rwth-aachen.de",58,"58",3,0000:ad:00.0,"OK",4096,16777216,20,11.058,11.405,11.3996,11.576,11.7345,11.7902,12.5325,11.6698
59,"n23g0012.hpc.itc.rwth-aachen.de",59,"59",0,0000:1b:00.0,"OK",4096,16777216,20,11.703,12.4565,12.4904,12.299,12.799,12.7919,18.6823,8.73219
59,"n23g0012.hpc.itc.rwth-aachen.de",59,"59",1,0000:2c:00.0,"OK",4096,16777216,20,12.218,12.6845,12.7166,12.308,12.748,12.7845,18.7431,8.93561
59,"n23g0012.hpc.itc.rwth-aachen.de",59,"59",2,0000:9d:00.0,"OK",4096,16777216,20,10.636,11.5185,11.4933,11.038,11.4205,11.929,18.6492,16.0073
59,"n23g0012.hpc.itc.rwth-aachen.de",59,"59",3,0000:ad:00.0,"OK",4096,16777216,20,11.124,11.798,11.7939,11.092,11.748,11.7068,12.5404,11.7338
60,"n23g0012.hpc.itc.rwth-aachen.de",60,"60",0,0000:1b:00.0,"OK",4096,16777216,20,12.367,12.7975,12.825,12.098,12.781,12.7894,19.1807,9.40553
60,"n23g0012.hpc.itc.rwth-aachen.de",60,"60",1,0000:2c:00.0,"OK",4096,16777216,20,12.45,12.85,13.4306,12.52,13.037,12.9836,19.0377,9.89274
60,"n23g0012.hpc.itc.rwth-aachen.de",60,"60",2,0000:9d:00.0,"OK",4096,16777216,20,10.662,11.473,11.4374,10.904,11.336,12.0165,14.6746,15.6631
60,"n23g0012.hpc.itc.rwth-aachen.de",60,"60",3,0000:ad:00.0,"OK",4096,16777216,20,11.309,11.861,12.3074,11.07,11.661,11.6338,10.2927,13.6554
61,"n23g0012.hpc.itc.rwth-aachen.de",61,"61",0,0000:1b:00.0,"OK",4096,16777216,20,12.16,12.736,13.3361,12.527,12.9355,12.9054,19.0478,9.31392
61,"n23g0012.hpc.itc.rwth-aachen.de",61,"61",1,0000:2c:00.0,"OK",4096,16777216,20,12.345,12.8745,12.8696,12.41,12.9205,12.9026,18.9841,9.7645
61,"n23g0012.hpc.itc.rwth-aachen.de",61,"61",2,0000:9d:00.0,"OK",4096,16777216,20,11.092,11.608,11.5688,10.644,11.1935,11.6734,14.7323,15.474
61,"n23g0012.hpc.itc.rwth-aachen.de",61,"61",3,0000:ad:00.0,"OK",4096,16777216,20,11.377,11.9955,11.9775,10.898,11.607,11.5691,10.2276,13.6042
62,"n23g0012.hpc.itc.rwth-aachen.de",62,"62",0,0000:1b:00.0,"OK",4096,16777216,20,12.002,12.569,12.5283,12.59,12.9005,12.9532,18.6534,9.84179
62,"n23g0012.hpc.itc.rwth-aachen.de",62,"62",1,0000:2c:00.0,"OK",4096,16777216,20,12.044,12.6775,12.7859,12.148,12.999,13.1933,18.7645,9.99626
62,"n23g0012.hpc.itc.rwth-aachen.de",62,"62",2,0000:9d:00.0,"OK",4096,16777216,20,10.96,11.4935,11.9454,10.89,11.4005,11.3892,14.7419,15.7158
62,"n23g0012.hpc.itc.rwth-aachen.de",62,"62",3,0000:ad:00.0,"OK",4096,16777216,20,11.331,11.857,11.8521,11.202,11.7105,11.6819,10.2389,13.6686
63,"n23g0012.hpc.itc.rwth-aachen.de",63,"63",0,0000:1b:00.0,"OK",4096,16777216,20,11.925,12.4795,12.934,12.459,12.9545,12.9385,18.8757,9.51629
63,"n23g0012.hpc.itc.rwth-aachen.de",63,"63",1,0000:2c:00.0,"OK",4096,16777216,20,12.295,12.871,12.9771,12.411,12.953,12.9264,18.3604,9.91133
63,"n23g0012.hpc.itc.rwth-aachen.de",63,"63",2,0000:9d:00.0,"OK",4096,16777216,20,11.045,11.5395,12.0636,11.111,11.4615,11.8602,14.7052,15.7711
63,"n23g0012.hpc.itc.rwth-aachen.de",63,"63",3,0000:ad:00.0,"OK",4096,16777216,20,11.148,11.772,11.7249,10.865,11.6115,12.228,10.2441,13.6402
64,"n23g0012.hpc.itc.rwth-aachen.de",64,"64",0,0000:1b:00.0,"OK",4096,16777216,20,12.05,12.5915,12.5691,12.161,12.719,12.8789,18.8569,9.39932
64,"n23g0012.hpc.itc.rwth-aachen.de",64,"64",1,0000:2c:00.0,"OK",4096,16777216,20,12.252,12.81,12.8203,12.448,12.867,13.3154,18.7304,9.37526
64,"n23g0012.hpc.itc.rwth-aachen.de",64,"64",2,0000:9d:00.0,"OK",4096,16777216,20,10.891,11.468,11.4917,10.872,11.2525,11.7733,14.7359,15.6868
64,"n23g0012.hpc.itc.rwth-aachen.de",64,"64",3,0000:ad:00.0,"OK",4096,16777216,20,11.074,11.777,11.763,11.125,11.7355,11.7164,10.2705,13.6743
65,"n23g0012.hpc.itc.rwth-aachen.de",65,"65",0,0000:1b:00.0,"OK",4096,16777216,20,12.124,12.446,12.8656,12.312,12.7145,12.7696,18.8222,10.007
65,"n23g0012.hpc.itc.rwth-aachen.de",65,"65",1,0000:2c:00.0,"OK",4096,16777216,20,12.472,12.868,12.9118,12.239,12.8305,12.806,18.8676,9.24374
65,"n23g0012.hpc.itc.rwth-aachen.de",65,"65",2,0000:9d:00.0,"OK",4096,16777216,20,11.064,11.5335,11.5882,10.893,11.269,11.5689,14.7422,15.8458
65,"n23g0012.hpc.itc.rwth-aachen.de",65,"65",3,0000:ad:00.0,"OK",4096,16777216,20,11.054,11.8465,12.4264,11.076,11.6465,11.6257,10.3049,13.6671
66,"n23g0012.hpc.itc.rwth-aachen.de",66,"66",0,0000:1b:00.0,"OK",4096,16777216,20,12.322,12.6545,12.7144,12.214,12.8135,12.8098,18.7999,9.6901
66,"n23g0012.hpc.itc.rwth-aachen.de",66,"66",1,0000:2c:00.0,"OK",4096,16777216,20,12.26,12.8635,12.8393,12.145,12.788,13.164,18.7156,9.94426
66,"n23g0012.hpc.itc.rwth-aachen.de",66,"66",2,0000:9d:00.0,"OK",4096,16777216,20,10.77,11.407,11.3373,10.519,11.1425,11.4269,14.7329,15.8034
66,"n23g0012.hpc.itc.rwth-aachen.de",66,"66",3,0000:ad:00.0,"OK",4096,16777216,20,11.323,11.913,11.8891,11.171,11.5565,11.7368,10.8744,13.6891
67,"n23g0012.hpc.itc.rwth-aachen.de",67,"67",0,0000:1b:00.0,"OK",4096,16777216,20,12.167,12.8225,13.3729,12.467,12.753,12.7506,18.848,10.0188
67,"n23g0012.hpc.itc.rwth-aachen.de",67,"67",1,0000:2c:00.0,"OK",4096,16777216,20,12.34,12.9045,12.9115,12.081,12.765,12.7369,18.7431,9.26778
67,"n23g0012.hpc.itc.rwth-aachen.de",67,"67",2,0000:9d:00.0,"OK",4096,16777216,20,11.119,11.5015,12.0135,10.718,11.1465,11.1471,14.7007,15.7253
67,"n23g0012.hpc.itc.rwth-aachen.de",67,"67",3,0000:ad:00.0,"OK",4096,16777216,20,11.207,11.84,12.1783,10.97,11.4765,11.4881,10.2769,13.7014
68,"n23g0012.hpc.itc.rwth-aachen.de",68,"68",0,0000:1b:00.0,"OK",4096,16777216,20,12.186,12.6745,13.3308,12.351,12.8895,12.8618,18.8822,9.60139
68,"n23g0012.hpc.itc.rwth-aachen.de",68,"68",1,0000:2c:00.0,"OK",4096,16777216,20,12.292,12.841,13.2743,12.247,12.9145,12.8768,18.6738,9.21124
68,"n23g0012.hpc.itc.rwth-aachen.de",68,"68",2,0000:9d:00.0,"OK",4096,16777216,20,10.748,11.3845,11.9355,10.919,11.3075,11.2625,14.7,15.8519
68,"n23g0012.hpc.itc.rwth-aachen.de",68,"68",3,0000:ad:00.0,"OK",4096,16777216,20,11.314,12.002,12.0143,11.085,11.64,11.5889,10.236,13.6717
69,"n23g0012.hpc.itc.rwth-aachen.de",69,"69",0,0000:1b:00.0,"OK",4096,16777216,20,12.372,12.8605,12.9434,12.259,12.759,13.287,18.7843,9.2796
69,"n23g0012.hpc.itc.rwth-aachen.de",69,"69",1,0000:2c:00.0,"OK",4096,16777216,20,12.597,13.2405,13.1833,12.392,12.965,13.1715,18.7115,9.96977
69,"n23g0012.hpc.itc.rwth-aachen.de",69,"69",2,0000:9d:00.0,"OK",4096,16777216,20,11.086,11.5955,11.6578,10.868,11.338,11.3515,14.6948,15.7245
69,"n23g0012.hpc.itc.rwth-aachen.de",69,"69",3,0000:ad:00.0,"OK",4096,16777216,20,11.729,12.151,12.6153,11.35,11.926,11.914,10.2905,13.6369
70,"n23g0012.hpc.itc.rwth-aachen.de",70,"70",0,0000:1b:00.0,"OK",4096,16777216,20,12.313,12.713,12.6883,12.522,12.956,13.3357,18.7879,9.40997
70,"n23g0012.hpc.itc.rwth-aachen.de",70,"70",1,0000:2c:00.0,"OK",4096,16777216,20,12.273,12.8275,12.8831,12.685,13.1825,13.1821,18.9245,9.98847
70,"n23g0012.hpc.itc.rwth-aachen.de",70,"70",2,0000:9d:00.0,"OK",4096,16777216,20,11.045,11.4515,11.4392,10.815,11.467,11.4241,14.7083,15.5635
70,"n23g0012.hpc.itc.rwth-aachen.de",70,"70",3,0000:ad:00.0,"OK",4096,16777216,20,11.35,11.9295,11.9931,11.09,11.633,11.6242,10.2827,13.6512
71,"n23g0012.hpc.itc.rwth-aachen.de",71,"71",0,0000:1b:00.0,"OK",4096,16777216,20,12.166,12.7455,12.7766,12.571,12.8245,12.8066,18.7973,9.42721
71,"n23g0012.hpc.itc.rwth-aachen.de",71,"71",1,0000:2c:00.0,"OK",4096,16777216,20,12.207,12.836,12.7805,12.491,13.0635,13.0552,18.6802,9.98799
71,"n23g0012.hpc.itc.rwth-aachen.de",71,"71",2,0000:9d:00.0,"OK",4096,16777216,20,10.819,11.4695,11.5735,10.678,11.2305,11.3011,14.7133,15.8678
71,"n23g0012.hpc.itc.rwth-aachen.de",71,"71",3,0000:ad:00.0,"OK",4096,16777216,20,11.332,11.9355,13.3877,11.152,11.6235,11.6694,10.2572,13.6538
72,"n23g0012.hpc.itc.rwth-aachen.de",72,"72",0,0000:1b:00.0,"OK",4096,16777216,20,12.223,12.872,13.0048,12.499,13.0735,13.0839,18.8413,8.66457
72,"n23g0012.hpc.itc.rwth-aachen.de",72,"72",1,0000:2c:00.0,"OK",4096,16777216,20,12.288,12.944,12.9854,12.663,13.004,12.9757,19.1764,8.99517
