transport,locality_tier,pair_count,lat_mean_us,lat_median_us,lat_p25_us,lat_p75_us,lat_p95_us,lat_min_us,lat_max_us,bw_mean_gibs,bw_median_gibs,bw_p25_gibs,bw_p75_gibs,bw_p95_gibs,bw_min_gibs,bw_max_gibs
tcp,same_numa,1056,9.655966382575759,9.516875,9.2991875,9.860812500000002,11.744625,5.5645,13.0597,6.89558372159091,7.001335,6.866545,7.1414925,7.30232,5.13922,7.66344
tcp,same_socket_diff_numa,3456,9.997526663773147,9.915125,9.68,10.1914,10.9286,5.81975,14.114,6.57460314236111,6.6506050000000005,6.45811,6.7770575,6.972635,4.78241,7.35574
tcp,cross_socket,4608,19.702576779513887,21.5715,16.3251,21.9905,22.46858,13.4793,37.3858,2.6404867838541666,2.277425,2.2305099999999998,3.1436225,3.7829094999999997,2.07666,4.00428
tcp,cross_node,9216,27.147801009114584,23.98225,20.389,29.19575,50.670975,13.6227,2000.34,2.0859488563368056,1.92036,1.721535,2.3764450000000004,3.1825574999999997,1.25437,4.66416
